TestID,Platform,GPU,Case,MBS,M,N,K,Dtype,Granularity,Check,Forward Time (ms),Forward TFLOPS,Backward Time (ms),Backward TFLOPS
1,ROCm,MI300X,Llama-2-7B,1,4096,12288,4096,fp8,blockwise,PASS,0.80,513.06,2.23,369.38
2,ROCm,MI300X,Llama-2-7B,1,4096,4096,4096,fp8,blockwise,PASS,0.30,463.32,0.83,329.25
3,ROCm,MI300X,Llama-2-7B,1,4096,22016,4096,fp8,blockwise,PASS,1.34,551.65,3.70,399.19
4,ROCm,MI300X,Llama-2-7B,1,4096,4096,11008,fp8,blockwise,PASS,0.69,535.29,2.13,346.98
5,ROCm,MI300X,Llama-2-7B,2,8192,12288,4096,fp8,blockwise,PASS,1.46,564.06,4.14,398.34
6,ROCm,MI300X,Llama-2-7B,2,8192,4096,4096,fp8,blockwise,PASS,0.56,494.89,1.63,337.02
7,ROCm,MI300X,Llama-2-7B,2,8192,22016,4096,fp8,blockwise,PASS,2.51,588.87,7.09,416.53
8,ROCm,MI300X,Llama-2-7B,2,8192,4096,11008,fp8,blockwise,PASS,1.29,571.24,3.94,374.65
9,ROCm,MI300X,Llama-2-7B,4,16384,12288,4096,fp8,blockwise,PASS,2.76,596.53,7.87,419.03
10,ROCm,MI300X,Llama-2-7B,4,16384,4096,4096,fp8,blockwise,PASS,1.01,543.24,2.86,384.92
11,ROCm,MI300X,Llama-2-7B,4,16384,22016,4096,fp8,blockwise,PASS,4.86,608.27,13.51,437.44
12,ROCm,MI300X,Llama-2-7B,4,16384,4096,11008,fp8,blockwise,PASS,2.43,607.86,7.50,394.10
13,ROCm,MI300X,Llama-2-70B,1,4096,10240,8192,fp8,blockwise,PASS,1.24,556.24,3.44,399.52
14,ROCm,MI300X,Llama-2-70B,1,4096,8192,8192,fp8,blockwise,PASS,1.01,546.90,2.77,396.70
15,ROCm,MI300X,Llama-2-70B,1,4096,57344,8192,fp8,blockwise,PASS,6.61,582.23,18.33,419.92
16,ROCm,MI300X,Llama-2-70B,1,4096,8192,28672,fp8,blockwise,PASS,3.57,539.47,8.75,439.80
17,ROCm,MI300X,Llama-2-70B,2,8192,10240,8192,fp8,blockwise,PASS,2.24,612.99,6.12,449.42
18,ROCm,MI300X,Llama-2-70B,2,8192,8192,8192,fp8,blockwise,PASS,1.79,612.73,4.88,450.47
19,ROCm,MI300X,Llama-2-70B,2,8192,57344,8192,fp8,blockwise,ERROR,ERROR,0.00,ERROR,0.00
20,ROCm,MI300X,Llama-2-70B,2,8192,8192,28672,fp8,blockwise,PASS,6.36,605.54,16.42,468.83
21,ROCm,MI300X,Llama-2-70B,4,16384,10240,8192,fp8,blockwise,PASS,4.53,606.23,11.84,464.36
22,ROCm,MI300X,Llama-2-70B,4,16384,8192,8192,fp8,blockwise,PASS,3.56,617.46,9.37,469.40
23,ROCm,MI300X,Llama-2-70B,4,16384,57344,8192,fp8,blockwise,ERROR,ERROR,0.00,ERROR,0.00
24,ROCm,MI300X,Llama-2-70B,4,16384,8192,28672,fp8,blockwise,ERROR,ERROR,0.00,ERROR,0.00
25,ROCm,MI300X,Llama-3.1-8B,1,8192,6144,4096,fp8,blockwise,PASS,0.80,517.10,2.20,374.01
26,ROCm,MI300X,Llama-3.1-8B,1,8192,4096,4096,fp8,blockwise,PASS,0.55,495.68,1.63,337.03
27,ROCm,MI300X,Llama-3.1-8B,1,8192,28672,4096,fp8,blockwise,PASS,3.18,604.22,8.72,441.14
28,ROCm,MI300X,Llama-3.1-8B,1,8192,4096,14336,fp8,blockwise,PASS,1.70,564.74,4.43,434.79
29,ROCm,MI300X,Llama-3.1-8B,2,16384,6144,4096,fp8,blockwise,PASS,1.48,558.69,4.10,402.20
30,ROCm,MI300X,Llama-3.1-8B,2,16384,4096,4096,fp8,blockwise,PASS,1.01,542.76,2.87,382.93
31,ROCm,MI300X,Llama-3.1-8B,2,16384,28672,4096,fp8,blockwise,PASS,6.21,619.79,16.77,458.88
32,ROCm,MI300X,Llama-3.1-8B,2,16384,4096,14336,fp8,blockwise,PASS,3.30,583.80,8.52,451.58
33,ROCm,MI300X,Llama-3.1-8B,4,32768,6144,4096,fp8,blockwise,PASS,2.85,578.73,7.93,416.08
34,ROCm,MI300X,Llama-3.1-8B,4,32768,4096,4096,fp8,blockwise,PASS,1.98,555.37,5.46,402.96
35,ROCm,MI300X,Llama-3.1-8B,4,32768,28672,4096,fp8,blockwise,ERROR,ERROR,0.00,ERROR,0.00
36,ROCm,MI300X,Llama-3.1-8B,4,32768,4096,14336,fp8,blockwise,ERROR,ERROR,0.00,ERROR,0.00
37,ROCm,MI300X,Llama-3.1-405B,1,8192,18432,16384,fp8,blockwise,PASS,8.22,602.17,21.01,470.96
38,ROCm,MI300X,Llama-3.1-405B,1,8192,16384,16384,fp8,blockwise,PASS,7.26,606.09,18.15,484.73
39,ROCm,MI300X,Llama-3.1-405B,1,8192,106496,16384,fp8,blockwise,ERROR,ERROR,0.00,ERROR,0.00
40,ROCm,MI300X,Llama-3.1-405B,1,8192,16384,53248,fp8,blockwise,ERROR,ERROR,0.00,ERROR,0.00
41,ROCm,MI300X,Llama-3.1-405B,2,16384,18432,16384,fp8,blockwise,ERROR,ERROR,0.00,ERROR,0.00
42,ROCm,MI300X,Llama-3.1-405B,2,16384,16384,16384,fp8,blockwise,PASS,14.20,619.63,35.38,497.18
43,ROCm,MI300X,Llama-3.1-405B,2,16384,106496,16384,fp8,blockwise,ERROR,ERROR,0.00,ERROR,0.00
44,ROCm,MI300X,Llama-3.1-405B,2,16384,16384,53248,fp8,blockwise,ERROR,ERROR,0.00,ERROR,0.00
45,ROCm,MI300X,Llama-3.1-405B,4,32768,18432,16384,fp8,blockwise,ERROR,ERROR,0.00,ERROR,0.00
46,ROCm,MI300X,Llama-3.1-405B,4,32768,16384,16384,fp8,blockwise,ERROR,ERROR,0.00,ERROR,0.00
