TestID,Platform,GPU,Case,MBS,M,N,K,Dtype,Granularity,Check,Forward Time (ms),Forward TFLOPS,Backward Time (ms),Backward TFLOPS
1,ROCm,MI355X,Llama-2-7B,1,4096,12288,4096,fp8,blockwise,PASS,0.86,478.06,3.67,224.82
2,ROCm,MI355X,Llama-2-7B,1,4096,4096,4096,fp8,blockwise,PASS,0.30,457.46,1.25,219.14
3,ROCm,MI355X,Llama-2-7B,1,4096,22016,4096,fp8,blockwise,PASS,1.57,471.44,6.45,229.07
4,ROCm,MI355X,Llama-2-7B,1,4096,4096,11008,fp8,blockwise,PASS,0.67,551.36,3.38,218.73
5,ROCm,MI355X,Llama-2-7B,2,8192,12288,4096,fp8,blockwise,PASS,1.65,498.90,7.27,226.99
6,ROCm,MI355X,Llama-2-7B,2,8192,4096,4096,fp8,blockwise,PASS,0.58,477.52,2.48,221.97
7,ROCm,MI355X,Llama-2-7B,2,8192,22016,4096,fp8,blockwise,PASS,3.07,481.81,12.63,233.92
8,ROCm,MI355X,Llama-2-7B,2,8192,4096,11008,fp8,blockwise,PASS,1.32,560.60,6.72,219.96
9,ROCm,MI355X,Llama-2-7B,4,16384,12288,4096,fp8,blockwise,PASS,3.31,497.81,14.31,230.48
10,ROCm,MI355X,Llama-2-7B,4,16384,4096,4096,fp8,blockwise,PASS,1.14,482.71,4.91,224.12
11,ROCm,MI355X,Llama-2-7B,4,16384,22016,4096,fp8,blockwise,PASS,5.99,493.14,25.01,236.31
12,ROCm,MI355X,Llama-2-7B,4,16384,4096,11008,fp8,blockwise,PASS,2.66,555.72,13.10,225.56
13,ROCm,MI355X,Llama-2-70B,1,4096,10240,8192,fp8,blockwise,PASS,1.42,485.16,6.04,227.45
14,ROCm,MI355X,Llama-2-70B,1,4096,8192,8192,fp8,blockwise,PASS,1.14,482.46,4.85,226.82
15,ROCm,MI355X,Llama-2-70B,1,4096,57344,8192,fp8,blockwise,PASS,8.95,429.76,33.51,229.66
16,ROCm,MI355X,Llama-2-70B,1,4096,8192,28672,fp8,blockwise,PASS,4.16,462.88,16.50,233.29
