TestID,Platform,GPU,Case,MBS,M,N,K,Dtype,Granularity,Check,Forward Time (ms),Forward TFLOPS,Backward Time (ms),Backward TFLOPS
1,ROCm,MI355X,Llama-2-7B,1,4096,12288,4096,fp8,blockwise,PASS,0.47,882.74,1.05,784.58
2,ROCm,MI355X,Llama-2-7B,1,4096,4096,4096,fp8,blockwise,PASS,0.18,783.51,0.37,746.78
3,ROCm,MI355X,Llama-2-7B,1,4096,22016,4096,fp8,blockwise,PASS,0.57,1296.32,1.91,775.15
4,ROCm,MI355X,Llama-2-7B,1,4096,4096,11008,fp8,blockwise,PASS,0.43,857.74,0.96,767.90
5,ROCm,MI355X,Llama-2-7B,2,8192,12288,4096,fp8,blockwise,PASS,0.89,925.82,2.00,823.52
6,ROCm,MI355X,Llama-2-7B,2,8192,4096,4096,fp8,blockwise,PASS,0.32,869.77,0.72,768.36
7,ROCm,MI355X,Llama-2-7B,2,8192,22016,4096,fp8,blockwise,PASS,1.60,922.97,3.57,827.45
8,ROCm,MI355X,Llama-2-7B,2,8192,4096,11008,fp8,blockwise,PASS,0.90,819.68,1.86,793.56
9,ROCm,MI355X,Llama-2-7B,4,16384,12288,4096,fp8,blockwise,PASS,1.83,900.45,3.93,840.26
10,ROCm,MI355X,Llama-2-7B,4,16384,4096,4096,fp8,blockwise,PASS,0.62,881.59,1.46,752.64
11,ROCm,MI355X,Llama-2-7B,4,16384,22016,4096,fp8,blockwise,PASS,3.09,956.35,7.30,809.47
12,ROCm,MI355X,Llama-2-7B,4,16384,4096,11008,fp8,blockwise,PASS,1.89,783.04,3.57,827.58
13,ROCm,MI355X,Llama-2-70B,1,4096,10240,8192,fp8,blockwise,PASS,0.77,895.63,1.67,824.79
14,ROCm,MI355X,Llama-2-70B,1,4096,8192,8192,fp8,blockwise,PASS,0.62,886.50,1.33,825.76
15,ROCm,MI355X,Llama-2-70B,1,4096,57344,8192,fp8,blockwise,PASS,4.86,792.45,9.86,780.43
16,ROCm,MI355X,Llama-2-70B,1,4096,8192,28672,fp8,blockwise,PASS,2.48,776.35,4.69,819.76
17,ROCm,MI355X,Llama-2-70B,2,8192,10240,8192,fp8,blockwise,PASS,1.52,903.67,3.17,867.08
18,ROCm,MI355X,Llama-2-70B,2,8192,8192,8192,fp8,blockwise,PASS,1.32,831.56,2.59,848.59
19,ROCm,MI355X,Llama-2-70B,2,8192,57344,8192,fp8,blockwise,PASS,9.39,820.00,19.19,802.25
20,ROCm,MI355X,Llama-2-70B,2,8192,8192,28672,fp8,blockwise,PASS,4.81,800.11,8.88,866.26
21,ROCm,MI355X,Llama-2-70B,4,16384,10240,8192,fp8,blockwise,PASS,2.97,924.44,6.17,890.32
22,ROCm,MI355X,Llama-2-70B,4,16384,8192,8192,fp8,blockwise,PASS,2.79,788.76,5.01,878.07
23,ROCm,MI355X,Llama-2-70B,4,16384,57344,8192,fp8,blockwise,PASS,18.41,836.34,37.65,817.76
24,ROCm,MI355X,Llama-2-70B,4,16384,8192,28672,fp8,blockwise,PASS,9.47,812.66,17.18,895.76
25,ROCm,MI355X,Llama-3.1-8B,1,8192,6144,4096,fp8,blockwise,PASS,0.46,888.72,1.05,787.64
26,ROCm,MI355X,Llama-3.1-8B,1,8192,4096,4096,fp8,blockwise,PASS,0.32,870.44,0.72,768.25
27,ROCm,MI355X,Llama-3.1-8B,1,8192,28672,4096,fp8,blockwise,PASS,2.04,945.06,4.79,803.39
28,ROCm,MI355X,Llama-3.1-8B,1,8192,4096,14336,fp8,blockwise,PASS,1.25,767.96,2.33,824.27
29,ROCm,MI355X,Llama-3.1-8B,2,16384,6144,4096,fp8,blockwise,PASS,0.91,902.88,2.03,812.94
30,ROCm,MI355X,Llama-3.1-8B,2,16384,4096,4096,fp8,blockwise,PASS,0.62,881.61,1.47,750.40
31,ROCm,MI355X,Llama-3.1-8B,2,16384,28672,4096,fp8,blockwise,PASS,4.05,949.97,9.36,822.58
32,ROCm,MI355X,Llama-3.1-8B,2,16384,4096,14336,fp8,blockwise,PASS,2.52,763.65,4.51,852.68
33,ROCm,MI355X,Llama-3.1-8B,4,32768,6144,4096,fp8,blockwise,PASS,1.91,865.46,4.17,790.99
34,ROCm,MI355X,Llama-3.1-8B,4,32768,4096,4096,fp8,blockwise,PASS,1.47,750.19,2.93,751.57
35,ROCm,MI355X,Llama-3.1-8B,4,32768,28672,4096,fp8,blockwise,PASS,8.00,961.57,18.37,837.98
36,ROCm,MI355X,Llama-3.1-8B,4,32768,4096,14336,fp8,blockwise,PASS,4.98,772.25,9.02,853.30
37,ROCm,MI355X,Llama-3.1-405B,1,8192,18432,16384,fp8,blockwise,PASS,5.83,848.92,11.17,885.59
38,ROCm,MI355X,Llama-3.1-405B,1,8192,16384,16384,fp8,blockwise,PASS,5.42,810.70,9.95,883.92
39,ROCm,MI355X,Llama-3.1-405B,1,8192,106496,16384,fp8,blockwise,PASS,33.48,853.80,68.99,828.68
40,ROCm,MI355X,Llama-3.1-405B,1,8192,16384,53248,fp8,blockwise,PASS,17.74,805.59,32.19,887.98
41,ROCm,MI355X,Llama-3.1-405B,2,16384,18432,16384,fp8,blockwise,PASS,11.89,832.28,23.40,845.60
42,ROCm,MI355X,Llama-3.1-405B,2,16384,16384,16384,fp8,blockwise,PASS,10.69,823.06,20.18,871.61
43,ROCm,MI355X,Llama-3.1-405B,2,16384,106496,16384,fp8,blockwise,PASS,65.82,868.62,135.45,844.22
44,ROCm,MI355X,Llama-3.1-405B,2,16384,16384,53248,fp8,blockwise,PASS,34.96,817.61,65.61,871.38
45,ROCm,MI355X,Llama-3.1-405B,4,32768,18432,16384,fp8,blockwise,PASS,23.35,847.76,46.41,852.81
46,ROCm,MI355X,Llama-3.1-405B,4,32768,16384,16384,fp8,blockwise,PASS,21.16,831.55,40.40,870.92
47,ROCm,MI355X,Llama-3.1-405B,4,32768,106496,16384,fp8,blockwise,PASS,130.36,877.21,282.54,809.45
48,ROCm,MI355X,Llama-3.1-405B,4,32768,16384,53248,fp8,blockwise,PASS,69.61,821.32,136.21,839.51
49,ROCm,MI355X,Qwen2.5-7B,1,8192,4608,3584,fp8,blockwise,PASS,0.31,862.71,0.72,748.73
50,ROCm,MI355X,Qwen2.5-7B,1,8192,3584,3584,fp8,blockwise,PASS,0.25,833.60,0.62,682.23
51,ROCm,MI355X,Qwen2.5-7B,1,8192,37888,3584,fp8,blockwise,PASS,2.36,944.15,5.81,765.47
52,ROCm,MI355X,Qwen2.5-7B,1,8192,3584,18944,fp8,blockwise,PASS,1.38,806.43,2.75,808.96
53,ROCm,MI355X,Qwen2.5-7B,2,16384,4608,3584,fp8,blockwise,PASS,0.61,884.65,1.47,738.72
54,ROCm,MI355X,Qwen2.5-7B,2,16384,3584,3584,fp8,blockwise,PASS,0.49,858.58,1.26,665.51
55,ROCm,MI355X,Qwen2.5-7B,2,16384,37888,3584,fp8,blockwise,PASS,4.61,965.77,11.24,791.94
56,ROCm,MI355X,Qwen2.5-7B,2,16384,3584,18944,fp8,blockwise,PASS,2.61,851.16,5.32,836.68
57,ROCm,MI355X,Qwen2.5-7B,4,32768,4608,3584,fp8,blockwise,PASS,1.28,843.39,2.93,739.82
58,ROCm,MI355X,Qwen2.5-7B,4,32768,3584,3584,fp8,blockwise,PASS,1.00,843.33,2.53,665.43
59,ROCm,MI355X,Qwen2.5-7B,4,32768,37888,3584,fp8,blockwise,PASS,9.13,974.74,22.19,802.02
60,ROCm,MI355X,Qwen2.5-7B,4,32768,3584,18944,fp8,blockwise,PASS,5.09,874.81,10.73,829.06
61,ROCm,MI355X,Qwen2.5-72B,1,8192,10240,8192,fp8,blockwise,PASS,1.52,902.86,3.17,866.31
62,ROCm,MI355X,Qwen2.5-72B,1,8192,8192,8192,fp8,blockwise,PASS,1.32,830.59,2.58,853.94
63,ROCm,MI355X,Qwen2.5-72B,1,8192,59136,8192,fp8,blockwise,PASS,6.03,1317.25,19.77,802.91
64,ROCm,MI355X,Qwen2.5-72B,1,8192,8192,29568,fp8,blockwise,PASS,4.90,809.37,9.18,864.82
65,ROCm,MI355X,Qwen2.5-72B,2,16384,10240,8192,fp8,blockwise,PASS,2.97,925.55,6.17,890.81
66,ROCm,MI355X,Qwen2.5-72B,2,16384,8192,8192,fp8,blockwise,PASS,2.79,788.57,5.01,878.61
67,ROCm,MI355X,Qwen2.5-72B,2,16384,59136,8192,fp8,blockwise,PASS,19.10,831.00,39.09,812.15
68,ROCm,MI355X,Qwen2.5-72B,2,16384,8192,29568,fp8,blockwise,PASS,9.67,821.05,18.06,878.88
69,ROCm,MI355X,Qwen2.5-72B,4,32768,10240,8192,fp8,blockwise,PASS,5.83,943.77,13.01,845.17
70,ROCm,MI355X,Qwen2.5-72B,4,32768,8192,8192,fp8,blockwise,PASS,5.56,790.69,10.54,834.52
71,ROCm,MI355X,Qwen2.5-72B,4,32768,59136,8192,fp8,blockwise,PASS,38.95,815.05,77.53,819.01
72,ROCm,MI355X,Qwen2.5-72B,4,32768,8192,29568,fp8,blockwise,PASS,19.16,828.68,37.68,842.59
73,ROCm,MI355X,Mistral-7B,1,4096,6144,4096,fp8,blockwise,PASS,0.24,847.78,0.53,774.93
74,ROCm,MI355X,Mistral-7B,1,4096,4096,4096,fp8,blockwise,PASS,0.18,778.35,0.38,732.73
75,ROCm,MI355X,Mistral-7B,1,4096,28672,4096,fp8,blockwise,PASS,1.07,896.20,2.43,793.21
76,ROCm,MI355X,Mistral-7B,1,4096,4096,14336,fp8,blockwise,PASS,0.58,825.24,1.24,778.13
77,ROCm,MI355X,Mistral-7B,2,8192,6144,4096,fp8,blockwise,PASS,0.46,889.74,1.05,788.12
78,ROCm,MI355X,Mistral-7B,2,8192,4096,4096,fp8,blockwise,PASS,0.32,871.10,0.72,768.05
79,ROCm,MI355X,Mistral-7B,2,8192,28672,4096,fp8,blockwise,PASS,2.04,945.35,4.79,803.51
80,ROCm,MI355X,Mistral-7B,2,8192,4096,14336,fp8,blockwise,PASS,1.25,768.48,2.34,824.04
81,ROCm,MI355X,Mistral-7B,4,16384,6144,4096,fp8,blockwise,PASS,0.91,902.96,2.03,812.80
82,ROCm,MI355X,Mistral-7B,4,16384,4096,4096,fp8,blockwise,PASS,0.62,881.84,1.46,752.06
83,ROCm,MI355X,Mistral-7B,4,16384,28672,4096,fp8,blockwise,PASS,4.05,949.61,9.35,822.77
84,ROCm,MI355X,Mistral-7B,4,16384,4096,14336,fp8,blockwise,PASS,2.52,763.84,4.51,852.36
