TestID,Platform,GPU,Case,MBS,M,N,K,Dtype,Granularity,Check,Forward Time (ms),Forward TFLOPS,Backward Time (ms),Backward TFLOPS
1,ROCm,MI355X,Llama-2-7B,1,4096,12288,4096,fp8,blockwise,PASS,0.31,1324.47,0.88,941.53
2,ROCm,MI355X,Llama-2-7B,1,4096,4096,4096,fp8,blockwise,PASS,0.18,778.22,0.35,782.90
3,ROCm,MI355X,Llama-2-7B,1,4096,22016,4096,fp8,blockwise,PASS,0.57,1299.98,1.58,933.39
4,ROCm,MI355X,Llama-2-7B,1,4096,4096,11008,fp8,blockwise,PASS,0.30,1249.56,0.88,840.07
5,ROCm,MI355X,Llama-2-7B,2,8192,12288,4096,fp8,blockwise,PASS,0.58,1415.12,1.71,965.64
6,ROCm,MI355X,Llama-2-7B,2,8192,4096,4096,fp8,blockwise,PASS,0.21,1282.88,0.60,909.44
7,ROCm,MI355X,Llama-2-7B,2,8192,22016,4096,fp8,blockwise,PASS,1.09,1356.98,3.03,975.66
8,ROCm,MI355X,Llama-2-7B,2,8192,4096,11008,fp8,blockwise,PASS,0.61,1218.61,1.67,883.08
9,ROCm,MI355X,Llama-2-7B,4,16384,12288,4096,fp8,blockwise,PASS,1.19,1382.89,3.29,1001.47
10,ROCm,MI355X,Llama-2-7B,4,16384,4096,4096,fp8,blockwise,PASS,0.42,1303.39,1.26,876.06
11,ROCm,MI355X,Llama-2-7B,4,16384,22016,4096,fp8,blockwise,PASS,2.03,1456.53,5.89,1004.18
12,ROCm,MI355X,Llama-2-7B,4,16384,4096,11008,fp8,blockwise,PASS,1.31,1124.07,3.23,914.97
13,ROCm,MI355X,Llama-2-70B,1,4096,10240,8192,fp8,blockwise,PASS,0.52,1323.56,1.43,958.42
14,ROCm,MI355X,Llama-2-70B,1,4096,8192,8192,fp8,blockwise,PASS,0.41,1334.55,1.17,941.76
15,ROCm,MI355X,Llama-2-70B,1,4096,57344,8192,fp8,blockwise,PASS,3.07,1252.85,7.69,1000.78
16,ROCm,MI355X,Llama-2-70B,1,4096,8192,28672,fp8,blockwise,PASS,1.62,1186.13,3.83,1005.52
17,ROCm,MI355X,Llama-2-70B,2,8192,10240,8192,fp8,blockwise,PASS,0.96,1434.67,2.71,1015.26
18,ROCm,MI355X,Llama-2-70B,2,8192,8192,8192,fp8,blockwise,PASS,0.83,1317.52,2.18,1008.52
19,ROCm,MI355X,Llama-2-70B,2,8192,57344,8192,fp8,blockwise,PASS,5.79,1330.04,14.59,1055.14
