TestID,Platform,GPU,Case,MBS,M,N,K,Dtype,Check,Forward Time (ms),Forward TFLOPS,Backward Time (ms),Backward TFLOPS
1,ROCm,MI300X,Llama-2-7B,1,4096,12288,4096,bf16,PASS,0.71,584.67,1.51,545.59
2,ROCm,MI300X,Llama-2-7B,1,4096,4096,4096,bf16,PASS,0.24,578.98,0.54,508.00
3,ROCm,MI300X,Llama-2-7B,1,4096,22016,4096,bf16,PASS,1.25,591.88,2.75,536.34
4,ROCm,MI300X,Llama-2-7B,1,4096,4096,11008,bf16,PASS,0.61,603.42,1.49,494.38
5,ROCm,MI300X,Llama-2-7B,2,8192,12288,4096,bf16,PASS,1.49,552.78,3.00,550.37
6,ROCm,MI300X,Llama-2-7B,2,8192,4096,4096,bf16,PASS,0.47,581.52,1.01,542.78
7,ROCm,MI300X,Llama-2-7B,2,8192,22016,4096,bf16,PASS,2.64,558.60,5.36,551.20
8,ROCm,MI300X,Llama-2-7B,2,8192,4096,11008,bf16,PASS,1.30,567.34,2.78,531.61
9,ROCm,MI300X,Llama-2-7B,4,16384,12288,4096,bf16,PASS,2.98,553.66,5.91,558.11
10,ROCm,MI300X,Llama-2-7B,4,16384,4096,4096,bf16,PASS,0.95,578.01,2.01,548.07
11,ROCm,MI300X,Llama-2-7B,4,16384,22016,4096,bf16,PASS,5.31,556.01,10.50,563.05
12,ROCm,MI300X,Llama-2-7B,4,16384,4096,11008,bf16,PASS,2.74,539.42,5.56,531.69
13,ROCm,MI300X,Llama-2-70B,1,4096,10240,8192,bf16,PASS,1.29,534.61,2.58,532.41
14,ROCm,MI300X,Llama-2-70B,1,4096,8192,8192,bf16,PASS,0.89,618.31,2.04,539.82
15,ROCm,MI300X,Llama-2-70B,1,4096,57344,8192,bf16,PASS,6.34,606.66,14.80,520.00
16,ROCm,MI300X,Llama-2-70B,1,4096,8192,28672,bf16,PASS,3.66,525.33,6.99,550.63
17,ROCm,MI300X,Llama-2-70B,2,8192,10240,8192,bf16,PASS,2.32,591.71,4.81,571.19
18,ROCm,MI300X,Llama-2-70B,2,8192,8192,8192,bf16,PASS,1.95,563.73,3.85,571.11
19,ROCm,MI300X,Llama-2-70B,2,8192,57344,8192,bf16,PASS,12.79,601.83,27.59,558.02
20,ROCm,MI300X,Llama-2-70B,2,8192,8192,28672,bf16,PASS,7.15,538.50,14.02,548.88
21,ROCm,MI300X,Llama-2-70B,4,16384,10240,8192,bf16,PASS,4.54,604.91,10.21,538.26
22,ROCm,MI300X,Llama-2-70B,4,16384,8192,8192,bf16,PASS,3.79,579.88,8.04,547.27
23,ROCm,MI300X,Llama-2-70B,4,16384,57344,8192,bf16,PASS,26.44,582.14,55.87,550.99
24,ROCm,MI300X,Llama-2-70B,4,16384,8192,28672,bf16,PASS,13.66,563.50,28.11,547.63
25,ROCm,MI300X,Llama-3.1-8B,1,8192,6144,4096,bf16,PASS,0.73,564.13,1.64,504.04
26,ROCm,MI300X,Llama-3.1-8B,1,8192,4096,4096,bf16,PASS,0.48,569.79,1.04,530.29
27,ROCm,MI300X,Llama-3.1-8B,1,8192,28672,4096,bf16,PASS,3.32,579.77,7.06,544.90
28,ROCm,MI300X,Llama-3.1-8B,1,8192,4096,14336,bf16,PASS,1.83,526.72,3.54,543.10
29,ROCm,MI300X,Llama-3.1-8B,2,16384,6144,4096,bf16,PASS,1.53,540.65,3.33,495.17
30,ROCm,MI300X,Llama-3.1-8B,2,16384,4096,4096,bf16,PASS,0.97,564.67,2.08,529.52
31,ROCm,MI300X,Llama-3.1-8B,2,16384,28672,4096,bf16,PASS,6.68,576.32,13.77,558.80
32,ROCm,MI300X,Llama-3.1-8B,2,16384,4096,14336,bf16,PASS,3.59,536.02,7.02,548.48
33,ROCm,MI300X,Llama-3.1-8B,4,32768,6144,4096,bf16,PASS,3.07,537.85,6.78,486.32
34,ROCm,MI300X,Llama-3.1-8B,4,32768,4096,4096,bf16,PASS,1.92,574.10,4.02,547.16
35,ROCm,MI300X,Llama-3.1-8B,4,32768,28672,4096,bf16,PASS,13.84,555.98,26.99,570.36
36,ROCm,MI300X,Llama-3.1-8B,4,32768,4096,14336,bf16,PASS,7.02,548.22,14.19,542.32
37,ROCm,MI300X,Llama-3.1-405B,1,8192,18432,16384,bf16,PASS,8.84,559.58,18.62,531.32
38,ROCm,MI300X,Llama-3.1-405B,1,8192,16384,16384,bf16,PASS,7.77,565.98,15.98,550.41
39,ROCm,MI300X,Llama-3.1-405B,1,8192,106496,16384,bf16,PASS,48.56,588.68,108.70,525.98
40,ROCm,MI300X,Llama-3.1-405B,1,8192,16384,53248,bf16,PASS,24.95,572.91,51.99,549.85
41,ROCm,MI300X,Llama-3.1-405B,2,16384,18432,16384,bf16,PASS,18.17,544.54,36.82,537.54
42,ROCm,MI300X,Llama-3.1-405B,2,16384,16384,16384,bf16,PASS,15.38,572.07,31.26,562.81
43,ROCm,MI300X,Llama-3.1-405B,2,16384,106496,16384,bf16,PASS,95.56,598.33,219.72,520.42
44,ROCm,MI300X,Llama-3.1-405B,2,16384,16384,53248,bf16,PASS,50.59,565.11,102.15,559.73
45,ROCm,MI300X,Llama-3.1-405B,4,32768,18432,16384,bf16,PASS,36.35,544.53,75.24,526.09
46,ROCm,MI300X,Llama-3.1-405B,4,32768,16384,16384,bf16,PASS,29.87,589.06,62.62,561.89
47,ROCm,MI300X,Llama-3.1-405B,4,32768,106496,16384,bf16,PASS,205.01,557.77,445.21,513.69
48,ROCm,MI300X,Llama-3.1-405B,4,32768,16384,53248,bf16,PASS,98.07,583.03,210.50,543.23
49,ROCm,MI300X,Qwen2.5-7B,1,8192,4608,3584,bf16,PASS,0.46,592.89,1.05,516.79
50,ROCm,MI300X,Qwen2.5-7B,1,8192,3584,3584,bf16,PASS,0.42,505.36,0.89,472.56
51,ROCm,MI300X,Qwen2.5-7B,1,8192,37888,3584,bf16,PASS,3.92,567.66,8.35,533.13
52,ROCm,MI300X,Qwen2.5-7B,1,8192,3584,18944,bf16,PASS,2.39,464.75,4.34,513.17
53,ROCm,MI300X,Qwen2.5-7B,2,16384,4608,3584,bf16,PASS,0.92,588.52,2.00,542.50
54,ROCm,MI300X,Qwen2.5-7B,2,16384,3584,3584,bf16,PASS,0.71,590.70,1.68,501.55
55,ROCm,MI300X,Qwen2.5-7B,2,16384,37888,3584,bf16,PASS,8.19,543.57,15.89,560.18
56,ROCm,MI300X,Qwen2.5-7B,2,16384,3584,18944,bf16,PASS,3.91,569.33,9.00,494.28
57,ROCm,MI300X,Qwen2.5-7B,4,32768,4608,3584,bf16,PASS,1.93,561.94,3.95,547.80
58,ROCm,MI300X,Qwen2.5-7B,4,32768,3584,3584,bf16,PASS,1.48,569.00,3.33,505.62
59,ROCm,MI300X,Qwen2.5-7B,4,32768,37888,3584,bf16,PASS,16.30,545.88,30.96,574.91
60,ROCm,MI300X,Qwen2.5-7B,4,32768,3584,18944,bf16,PASS,7.83,568.19,18.65,477.14
61,ROCm,MI300X,Qwen2.5-72B,1,8192,10240,8192,bf16,PASS,2.34,586.26,4.87,564.08
62,ROCm,MI300X,Qwen2.5-72B,1,8192,8192,8192,bf16,PASS,1.97,556.88,3.89,565.27
63,ROCm,MI300X,Qwen2.5-72B,1,8192,59136,8192,bf16,PASS,13.55,585.79,29.11,545.25
64,ROCm,MI300X,Qwen2.5-72B,1,8192,8192,29568,bf16,PASS,6.43,617.66,15.03,528.05
65,ROCm,MI300X,Qwen2.5-72B,2,16384,10240,8192,bf16,PASS,4.55,603.53,10.23,537.36
66,ROCm,MI300X,Qwen2.5-72B,2,16384,8192,8192,bf16,PASS,3.80,578.65,7.99,550.19
67,ROCm,MI300X,Qwen2.5-72B,2,16384,59136,8192,bf16,PASS,26.41,601.03,58.61,541.73
68,ROCm,MI300X,Qwen2.5-72B,2,16384,8192,29568,bf16,PASS,12.76,622.22,29.84,531.95
69,ROCm,MI300X,Qwen2.5-72B,4,32768,10240,8192,bf16,PASS,8.89,618.71,19.64,559.76
70,ROCm,MI300X,Qwen2.5-72B,4,32768,8192,8192,bf16,PASS,7.18,612.15,15.69,560.74
71,ROCm,MI300X,Qwen2.5-72B,4,32768,59136,8192,bf16,PASS,54.39,583.70,123.50,514.16
72,ROCm,MI300X,Qwen2.5-72B,4,32768,8192,29568,bf16,PASS,26.32,603.05,60.22,527.19
73,ROCm,MI300X,Mistral-7B,1,4096,6144,4096,bf16,PASS,0.44,468.77,0.85,482.34
74,ROCm,MI300X,Mistral-7B,1,4096,4096,4096,bf16,PASS,0.24,563.51,0.55,496.67
75,ROCm,MI300X,Mistral-7B,1,4096,28672,4096,bf16,PASS,1.64,585.84,3.60,533.89
76,ROCm,MI300X,Mistral-7B,1,4096,4096,14336,bf16,PASS,0.81,590.89,1.83,525.08
77,ROCm,MI300X,Mistral-7B,2,8192,6144,4096,bf16,PASS,0.73,561.68,1.64,504.21
78,ROCm,MI300X,Mistral-7B,2,8192,4096,4096,bf16,PASS,0.49,566.54,1.03,532.98
79,ROCm,MI300X,Mistral-7B,2,8192,28672,4096,bf16,PASS,3.31,580.73,7.01,548.91
80,ROCm,MI300X,Mistral-7B,2,8192,4096,14336,bf16,PASS,1.81,530.19,3.51,547.99
81,ROCm,MI300X,Mistral-7B,4,16384,6144,4096,bf16,PASS,1.51,545.75,3.29,500.56
82,ROCm,MI300X,Mistral-7B,4,16384,4096,4096,bf16,PASS,0.96,569.71,2.06,532.87
83,ROCm,MI300X,Mistral-7B,4,16384,28672,4096,bf16,PASS,6.58,584.47,13.56,567.76
84,ROCm,MI300X,Mistral-7B,4,16384,4096,14336,bf16,PASS,3.58,537.86,6.91,556.67
