TestID,Platform,GPU,Case,MBS,M,N,K,Dtype,Check,Forward Time (ms),Forward TFLOPS,Backward Time (ms),Backward TFLOPS
1,ROCm,MI300X,Llama-2-7B,1,4096,12288,4096,bf16,PASS,0.70,592.88,1.51,544.72
2,ROCm,MI300X,Llama-2-7B,1,4096,4096,4096,bf16,PASS,0.24,579.51,0.54,510.41
3,ROCm,MI300X,Llama-2-7B,1,4096,22016,4096,bf16,PASS,1.25,591.34,2.75,537.65
4,ROCm,MI300X,Llama-2-7B,1,4096,4096,11008,bf16,PASS,0.61,602.80,1.48,498.97
5,ROCm,MI300X,Llama-2-7B,2,8192,12288,4096,bf16,PASS,1.47,562.46,2.98,552.82
6,ROCm,MI300X,Llama-2-7B,2,8192,4096,4096,bf16,PASS,0.47,585.30,1.01,546.05
7,ROCm,MI300X,Llama-2-7B,2,8192,22016,4096,bf16,PASS,2.64,560.50,5.36,551.59
8,ROCm,MI300X,Llama-2-7B,2,8192,4096,11008,bf16,PASS,1.30,569.59,2.76,534.48
9,ROCm,MI300X,Llama-2-7B,4,16384,12288,4096,bf16,PASS,2.97,555.76,5.90,558.82
10,ROCm,MI300X,Llama-2-7B,4,16384,4096,4096,bf16,PASS,0.95,579.61,2.00,549.23
11,ROCm,MI300X,Llama-2-7B,4,16384,22016,4096,bf16,PASS,5.31,556.67,10.49,563.56
12,ROCm,MI300X,Llama-2-7B,4,16384,4096,11008,bf16,PASS,2.73,541.69,5.52,535.51
13,ROCm,MI300X,Llama-2-70B,1,4096,10240,8192,bf16,PASS,1.28,538.79,2.55,537.96
14,ROCm,MI300X,Llama-2-70B,1,4096,8192,8192,bf16,PASS,0.88,621.60,2.04,539.38
15,ROCm,MI300X,Llama-2-70B,1,4096,57344,8192,bf16,PASS,6.38,603.61,14.78,520.85
16,ROCm,MI300X,Llama-2-70B,1,4096,8192,28672,bf16,PASS,3.64,527.91,6.94,554.39
17,ROCm,MI300X,Llama-2-70B,2,8192,10240,8192,bf16,PASS,2.31,594.80,4.92,558.27
18,ROCm,MI300X,Llama-2-70B,2,8192,8192,8192,bf16,PASS,1.97,559.49,3.94,557.65
19,ROCm,MI300X,Llama-2-70B,2,8192,57344,8192,bf16,PASS,12.78,602.37,28.43,541.51
20,ROCm,MI300X,Llama-2-70B,2,8192,8192,28672,bf16,PASS,7.09,542.61,14.01,549.33
21,ROCm,MI300X,Llama-2-70B,4,16384,10240,8192,bf16,PASS,4.48,613.15,10.10,544.25
22,ROCm,MI300X,Llama-2-70B,4,16384,8192,8192,bf16,PASS,3.73,589.17,7.99,550.22
23,ROCm,MI300X,Llama-2-70B,4,16384,57344,8192,bf16,PASS,26.27,585.86,55.63,553.40
24,ROCm,MI300X,Llama-2-70B,4,16384,8192,28672,bf16,PASS,13.58,566.95,27.90,551.78
25,ROCm,MI300X,Llama-3.1-8B,1,8192,6144,4096,bf16,PASS,0.72,570.43,1.63,505.85
26,ROCm,MI300X,Llama-3.1-8B,1,8192,4096,4096,bf16,PASS,0.48,574.53,1.03,534.88
27,ROCm,MI300X,Llama-3.1-8B,1,8192,28672,4096,bf16,PASS,3.27,589.32,6.99,550.28
28,ROCm,MI300X,Llama-3.1-8B,1,8192,4096,14336,bf16,PASS,1.80,535.22,3.46,555.82
29,ROCm,MI300X,Llama-3.1-8B,2,16384,6144,4096,bf16,PASS,1.51,547.03,3.28,503.55
30,ROCm,MI300X,Llama-3.1-8B,2,16384,4096,4096,bf16,PASS,0.96,571.53,2.05,535.66
31,ROCm,MI300X,Llama-3.1-8B,2,16384,28672,4096,bf16,PASS,6.56,586.99,13.59,566.48
32,ROCm,MI300X,Llama-3.1-8B,2,16384,4096,14336,bf16,PASS,3.57,539.37,6.86,560.58
33,ROCm,MI300X,Llama-3.1-8B,4,32768,6144,4096,bf16,PASS,3.02,545.59,6.68,493.70
34,ROCm,MI300X,Llama-3.1-8B,4,32768,4096,4096,bf16,PASS,1.86,591.37,3.91,562.83
35,ROCm,MI300X,Llama-3.1-8B,4,32768,28672,4096,bf16,PASS,13.66,563.44,26.45,582.04
36,ROCm,MI300X,Llama-3.1-8B,4,32768,4096,14336,bf16,PASS,6.92,556.28,14.04,548.04
37,ROCm,MI300X,Llama-3.1-405B,1,8192,18432,16384,bf16,PASS,8.68,569.81,18.31,540.42
38,ROCm,MI300X,Llama-3.1-405B,1,8192,16384,16384,bf16,PASS,7.63,576.10,15.75,558.55
39,ROCm,MI300X,Llama-3.1-405B,1,8192,106496,16384,bf16,PASS,47.99,595.74,108.42,527.36
40,ROCm,MI300X,Llama-3.1-405B,1,8192,16384,53248,bf16,PASS,24.92,573.66,52.03,549.46
41,ROCm,MI300X,Llama-3.1-405B,2,16384,18432,16384,bf16,PASS,18.34,539.66,36.93,535.93
42,ROCm,MI300X,Llama-3.1-405B,2,16384,16384,16384,bf16,PASS,15.39,571.60,31.31,561.83
43,ROCm,MI300X,Llama-3.1-405B,2,16384,106496,16384,bf16,PASS,95.81,596.75,220.60,518.35
44,ROCm,MI300X,Llama-3.1-405B,2,16384,16384,53248,bf16,PASS,50.91,561.53,102.93,555.49
45,ROCm,MI300X,Llama-3.1-405B,4,32768,18432,16384,bf16,PASS,36.43,543.25,75.31,525.61
46,ROCm,MI300X,Llama-3.1-405B,4,32768,16384,16384,bf16,PASS,30.06,585.27,62.87,559.60
47,ROCm,MI300X,Llama-3.1-405B,4,32768,106496,16384,bf16,PASS,206.02,555.04,447.47,511.09
48,ROCm,MI300X,Llama-3.1-405B,4,32768,16384,53248,bf16,PASS,98.50,580.47,210.38,543.54
49,ROCm,MI300X,Qwen2.5-7B,1,8192,4608,3584,bf16,PASS,0.46,591.92,1.04,521.29
50,ROCm,MI300X,Qwen2.5-7B,1,8192,3584,3584,bf16,PASS,0.41,514.60,0.88,479.20
51,ROCm,MI300X,Qwen2.5-7B,1,8192,37888,3584,bf16,PASS,3.90,570.64,8.63,515.34
52,ROCm,MI300X,Qwen2.5-7B,1,8192,3584,18944,bf16,PASS,2.40,463.10,4.31,516.27
53,ROCm,MI300X,Qwen2.5-7B,2,16384,4608,3584,bf16,PASS,0.91,595.40,1.98,546.98
54,ROCm,MI300X,Qwen2.5-7B,2,16384,3584,3584,bf16,PASS,0.70,598.64,1.64,514.31
55,ROCm,MI300X,Qwen2.5-7B,2,16384,37888,3584,bf16,PASS,8.16,545.54,15.87,560.77
56,ROCm,MI300X,Qwen2.5-7B,2,16384,3584,18944,bf16,PASS,3.90,570.05,8.92,498.68
57,ROCm,MI300X,Qwen2.5-7B,4,32768,4608,3584,bf16,PASS,1.91,567.59,3.92,552.32
58,ROCm,MI300X,Qwen2.5-7B,4,32768,3584,3584,bf16,PASS,1.46,576.39,3.26,516.45
59,ROCm,MI300X,Qwen2.5-7B,4,32768,37888,3584,bf16,PASS,16.24,548.06,31.01,574.02
60,ROCm,MI300X,Qwen2.5-7B,4,32768,3584,18944,bf16,PASS,7.81,569.91,18.55,479.63
61,ROCm,MI300X,Qwen2.5-72B,1,8192,10240,8192,bf16,PASS,2.33,588.61,5.00,550.19
62,ROCm,MI300X,Qwen2.5-72B,1,8192,8192,8192,bf16,PASS,1.99,552.56,4.00,550.32
63,ROCm,MI300X,Qwen2.5-72B,1,8192,59136,8192,bf16,PASS,13.49,588.29,30.02,528.86
64,ROCm,MI300X,Qwen2.5-72B,1,8192,8192,29568,bf16,PASS,6.30,629.71,15.03,528.01
65,ROCm,MI300X,Qwen2.5-72B,2,16384,10240,8192,bf16,PASS,4.54,605.27,10.21,538.37
66,ROCm,MI300X,Qwen2.5-72B,2,16384,8192,8192,bf16,PASS,3.79,579.55,7.95,553.36
67,ROCm,MI300X,Qwen2.5-72B,2,16384,59136,8192,bf16,PASS,26.34,602.67,58.68,541.01
68,ROCm,MI300X,Qwen2.5-72B,2,16384,8192,29568,bf16,PASS,12.73,623.72,29.81,532.55
69,ROCm,MI300X,Qwen2.5-72B,4,32768,10240,8192,bf16,PASS,8.91,617.20,19.59,561.13
70,ROCm,MI300X,Qwen2.5-72B,4,32768,8192,8192,bf16,PASS,7.16,614.20,15.77,557.79
71,ROCm,MI300X,Qwen2.5-72B,4,32768,59136,8192,bf16,PASS,54.18,585.99,123.42,514.46
72,ROCm,MI300X,Qwen2.5-72B,4,32768,8192,29568,bf16,PASS,26.33,602.83,60.27,526.81
73,ROCm,MI300X,Mistral-7B,1,4096,6144,4096,bf16,PASS,0.44,472.25,0.87,474.79
74,ROCm,MI300X,Mistral-7B,1,4096,4096,4096,bf16,PASS,0.24,563.98,0.56,493.58
75,ROCm,MI300X,Mistral-7B,1,4096,28672,4096,bf16,PASS,1.64,585.04,3.61,533.56
76,ROCm,MI300X,Mistral-7B,1,4096,4096,14336,bf16,PASS,0.81,596.73,1.81,532.50
77,ROCm,MI300X,Mistral-7B,2,8192,6144,4096,bf16,PASS,0.73,566.68,1.63,504.92
78,ROCm,MI300X,Mistral-7B,2,8192,4096,4096,bf16,PASS,0.48,571.79,1.03,534.12
79,ROCm,MI300X,Mistral-7B,2,8192,28672,4096,bf16,PASS,3.29,585.16,7.01,549.00
80,ROCm,MI300X,Mistral-7B,2,8192,4096,14336,bf16,PASS,1.81,530.64,3.50,549.09
81,ROCm,MI300X,Mistral-7B,4,16384,6144,4096,bf16,PASS,1.51,545.10,3.29,501.98
82,ROCm,MI300X,Mistral-7B,4,16384,4096,4096,bf16,PASS,0.96,571.02,2.06,532.94
83,ROCm,MI300X,Mistral-7B,4,16384,28672,4096,bf16,PASS,6.57,585.54,13.60,565.98
84,ROCm,MI300X,Mistral-7B,4,16384,4096,14336,bf16,PASS,3.58,537.88,6.90,557.41
