TestID,Platform,GPU,Case,MBS,M,N,K,Dtype,Check,Forward Time (ms),Forward TFLOPS,Backward Time (ms),Backward TFLOPS
1,ROCm,MI300X,Llama-2-7B,1,4096,12288,4096,bf16,PASS,0.71,580.34,1.51,545.93
2,ROCm,MI300X,Llama-2-7B,1,4096,4096,4096,bf16,PASS,0.24,583.78,0.54,510.16
3,ROCm,MI300X,Llama-2-7B,1,4096,22016,4096,bf16,PASS,1.25,591.32,2.75,537.94
4,ROCm,MI300X,Llama-2-7B,1,4096,4096,11008,bf16,PASS,0.61,603.17,1.62,455.78
5,ROCm,MI300X,Llama-2-7B,2,8192,12288,4096,bf16,PASS,1.47,560.12,2.99,551.12
6,ROCm,MI300X,Llama-2-7B,2,8192,4096,4096,bf16,PASS,0.47,584.79,1.01,546.09
7,ROCm,MI300X,Llama-2-7B,2,8192,22016,4096,bf16,PASS,2.64,559.88,5.35,551.87
8,ROCm,MI300X,Llama-2-7B,2,8192,4096,11008,bf16,PASS,1.29,570.48,2.90,509.14
9,ROCm,MI300X,Llama-2-7B,4,16384,12288,4096,bf16,PASS,2.96,556.58,6.65,496.19
10,ROCm,MI300X,Llama-2-7B,4,16384,4096,4096,bf16,PASS,1.10,501.96,2.25,489.66
11,ROCm,MI300X,Llama-2-7B,4,16384,22016,4096,bf16,PASS,5.30,557.24,12.22,483.57
12,ROCm,MI300X,Llama-2-7B,4,16384,4096,11008,bf16,PASS,3.15,468.63,5.82,507.58
13,ROCm,MI300X,Llama-2-70B,1,4096,10240,8192,bf16,PASS,1.38,496.59,2.56,537.63
14,ROCm,MI300X,Llama-2-70B,1,4096,8192,8192,bf16,PASS,0.88,621.84,2.08,527.99
15,ROCm,MI300X,Llama-2-70B,1,4096,57344,8192,bf16,PASS,6.41,600.06,14.76,521.58
16,ROCm,MI300X,Llama-2-70B,1,4096,8192,28672,bf16,PASS,3.65,527.37,6.96,552.55
17,ROCm,MI300X,Llama-2-70B,2,8192,10240,8192,bf16,PASS,2.31,595.60,5.51,499.04
18,ROCm,MI300X,Llama-2-70B,2,8192,8192,8192,bf16,PASS,2.14,513.20,4.42,497.32
19,ROCm,MI300X,Llama-2-70B,2,8192,57344,8192,bf16,PASS,12.80,601.43,30.71,501.18
20,ROCm,MI300X,Llama-2-70B,2,8192,8192,28672,bf16,PASS,8.88,433.43,13.96,551.29
21,ROCm,MI300X,Llama-2-70B,4,16384,10240,8192,bf16,PASS,4.48,613.84,10.10,544.32
22,ROCm,MI300X,Llama-2-70B,4,16384,8192,8192,bf16,PASS,3.73,589.16,7.93,554.71
23,ROCm,MI300X,Llama-2-70B,4,16384,57344,8192,bf16,PASS,26.22,587.04,55.44,555.26
24,ROCm,MI300X,Llama-2-70B,4,16384,8192,28672,bf16,PASS,13.53,568.94,27.91,551.60
25,ROCm,MI300X,Llama-3.1-8B,1,8192,6144,4096,bf16,PASS,0.73,568.42,1.55,532.63
26,ROCm,MI300X,Llama-3.1-8B,1,8192,4096,4096,bf16,PASS,0.48,573.14,1.03,534.06
27,ROCm,MI300X,Llama-3.1-8B,1,8192,28672,4096,bf16,PASS,3.27,587.55,7.01,549.34
28,ROCm,MI300X,Llama-3.1-8B,1,8192,4096,14336,bf16,PASS,1.81,531.94,3.48,553.43
29,ROCm,MI300X,Llama-3.1-8B,2,16384,6144,4096,bf16,PASS,1.51,546.79,3.60,458.70
30,ROCm,MI300X,Llama-3.1-8B,2,16384,4096,4096,bf16,PASS,1.14,482.90,2.33,472.12
31,ROCm,MI300X,Llama-3.1-8B,2,16384,28672,4096,bf16,PASS,6.58,584.74,15.50,496.53
32,ROCm,MI300X,Llama-3.1-8B,2,16384,4096,14336,bf16,PASS,4.06,473.76,6.90,557.95
33,ROCm,MI300X,Llama-3.1-8B,4,32768,6144,4096,bf16,PASS,3.03,543.94,6.21,531.39
34,ROCm,MI300X,Llama-3.1-8B,4,32768,4096,4096,bf16,PASS,1.87,589.13,3.93,560.07
35,ROCm,MI300X,Llama-3.1-8B,4,32768,28672,4096,bf16,PASS,13.71,561.51,26.58,579.22
36,ROCm,MI300X,Llama-3.1-8B,4,32768,4096,14336,bf16,PASS,6.95,554.06,14.03,548.54
37,ROCm,MI300X,Llama-3.1-405B,1,8192,18432,16384,bf16,PASS,8.71,567.95,18.26,541.94
38,ROCm,MI300X,Llama-3.1-405B,1,8192,16384,16384,bf16,PASS,7.68,572.99,15.79,556.90
39,ROCm,MI300X,Llama-3.1-405B,1,8192,106496,16384,bf16,PASS,48.15,593.77,108.79,525.57
40,ROCm,MI300X,Llama-3.1-405B,1,8192,16384,53248,bf16,PASS,25.02,571.32,52.08,548.95
41,ROCm,MI300X,Llama-3.1-405B,2,16384,18432,16384,bf16,PASS,18.22,543.04,36.84,537.21
42,ROCm,MI300X,Llama-3.1-405B,2,16384,16384,16384,bf16,PASS,15.39,571.70,31.40,560.20
43,ROCm,MI300X,Llama-3.1-405B,2,16384,106496,16384,bf16,PASS,95.78,596.94,221.00,517.41
44,ROCm,MI300X,Llama-3.1-405B,2,16384,16384,53248,bf16,PASS,50.80,562.75,102.97,555.23
45,ROCm,MI300X,Llama-3.1-405B,4,32768,18432,16384,bf16,PASS,36.54,541.57,75.48,524.41
46,ROCm,MI300X,Llama-3.1-405B,4,32768,16384,16384,bf16,PASS,30.07,584.95,63.14,557.22
47,ROCm,MI300X,Llama-3.1-405B,4,32768,106496,16384,bf16,PASS,206.04,554.98,448.98,509.38
48,ROCm,MI300X,Llama-3.1-405B,4,32768,16384,53248,bf16,PASS,98.68,579.39,211.47,540.73
49,ROCm,MI300X,Qwen2.5-7B,1,8192,4608,3584,bf16,PASS,0.46,590.63,1.08,499.51
50,ROCm,MI300X,Qwen2.5-7B,1,8192,3584,3584,bf16,PASS,0.44,482.69,0.98,427.79
51,ROCm,MI300X,Qwen2.5-7B,1,8192,37888,3584,bf16,PASS,3.92,567.49,9.11,488.68
52,ROCm,MI300X,Qwen2.5-7B,1,8192,3584,18944,bf16,PASS,2.53,440.36,4.40,505.87
53,ROCm,MI300X,Qwen2.5-7B,2,16384,4608,3584,bf16,PASS,0.91,594.11,1.98,546.27
54,ROCm,MI300X,Qwen2.5-7B,2,16384,3584,3584,bf16,PASS,0.70,599.53,1.81,466.21
55,ROCm,MI300X,Qwen2.5-7B,2,16384,37888,3584,bf16,PASS,8.18,544.11,15.92,558.87
56,ROCm,MI300X,Qwen2.5-7B,2,16384,3584,18944,bf16,PASS,3.91,569.46,8.53,521.34
57,ROCm,MI300X,Qwen2.5-7B,4,32768,4608,3584,bf16,PASS,1.91,566.77,3.94,549.87
58,ROCm,MI300X,Qwen2.5-7B,4,32768,3584,3584,bf16,PASS,1.47,574.02,3.77,446.82
59,ROCm,MI300X,Qwen2.5-7B,4,32768,37888,3584,bf16,PASS,16.29,546.28,30.94,575.18
60,ROCm,MI300X,Qwen2.5-7B,4,32768,3584,18944,bf16,PASS,7.83,568.19,17.80,500.01
61,ROCm,MI300X,Qwen2.5-72B,1,8192,10240,8192,bf16,PASS,2.37,580.64,5.70,482.43
62,ROCm,MI300X,Qwen2.5-72B,1,8192,8192,8192,bf16,PASS,2.19,501.02,4.54,484.76
63,ROCm,MI300X,Qwen2.5-72B,1,8192,59136,8192,bf16,PASS,13.60,583.67,32.52,488.10
64,ROCm,MI300X,Qwen2.5-72B,1,8192,8192,29568,bf16,PASS,7.23,549.08,15.04,527.90
65,ROCm,MI300X,Qwen2.5-72B,2,16384,10240,8192,bf16,PASS,4.58,599.88,10.34,531.69
66,ROCm,MI300X,Qwen2.5-72B,2,16384,8192,8192,bf16,PASS,3.84,572.85,8.07,544.79
