TestID,Platform,GPU,Case,MBS,M,N,K,Dtype,Granularity,Check,Forward Time (ms),Forward TFLOPS,Backward Time (ms),Backward TFLOPS
1,ROCm,MI300X,Llama-2-7B,1,4096,12288,4096,fp8,tensorwise,PASS,0.56,737.24,1.10,747.14
2,ROCm,MI300X,Llama-2-7B,1,4096,4096,4096,fp8,tensorwise,PASS,0.21,658.65,0.41,668.09
3,ROCm,MI300X,Llama-2-7B,1,4096,22016,4096,fp8,tensorwise,PASS,0.95,778.80,1.94,761.06
4,ROCm,MI300X,Llama-2-7B,1,4096,4096,11008,fp8,tensorwise,PASS,0.50,735.77,1.08,683.25
5,ROCm,MI300X,Llama-2-7B,2,8192,12288,4096,fp8,tensorwise,PASS,1.02,808.25,2.08,794.58
6,ROCm,MI300X,Llama-2-7B,2,8192,4096,4096,fp8,tensorwise,PASS,0.39,708.48,0.75,729.06
7,ROCm,MI300X,Llama-2-7B,2,8192,22016,4096,fp8,tensorwise,PASS,1.80,820.19,3.64,812.69
8,ROCm,MI300X,Llama-2-7B,2,8192,4096,11008,fp8,tensorwise,PASS,0.95,779.74,1.96,755.36
9,ROCm,MI300X,Llama-2-7B,4,16384,12288,4096,fp8,tensorwise,PASS,1.95,845.07,4.08,808.90
10,ROCm,MI300X,Llama-2-7B,4,16384,4096,4096,fp8,tensorwise,PASS,0.72,758.88,1.45,759.99
11,ROCm,MI300X,Llama-2-7B,4,16384,22016,4096,fp8,tensorwise,PASS,3.43,861.44,7.21,819.73
12,ROCm,MI300X,Llama-2-7B,4,16384,4096,11008,fp8,tensorwise,PASS,1.81,816.38,3.82,773.62
13,ROCm,MI300X,Llama-2-70B,1,4096,10240,8192,fp8,tensorwise,PASS,0.99,697.63,1.82,754.95
14,ROCm,MI300X,Llama-2-70B,1,4096,8192,8192,fp8,tensorwise,PASS,0.73,753.35,1.46,752.01
15,ROCm,MI300X,Llama-2-70B,1,4096,57344,8192,fp8,tensorwise,PASS,4.75,810.56,9.79,786.05
16,ROCm,MI300X,Llama-2-70B,1,4096,8192,28672,fp8,tensorwise,PASS,2.55,755.04,4.82,798.48
17,ROCm,MI300X,Llama-2-70B,2,8192,10240,8192,fp8,tensorwise,PASS,1.64,836.05,3.34,823.89
18,ROCm,MI300X,Llama-2-70B,2,8192,8192,8192,fp8,tensorwise,PASS,1.34,817.97,2.70,814.23
19,ROCm,MI300X,Llama-2-70B,2,8192,57344,8192,fp8,tensorwise,PASS,8.90,865.17,18.38,837.36
20,ROCm,MI300X,Llama-2-70B,2,8192,8192,28672,fp8,tensorwise,PASS,4.64,828.49,9.05,850.44
21,ROCm,MI300X,Llama-2-70B,4,16384,10240,8192,fp8,tensorwise,PASS,3.07,895.84,6.40,858.65
22,ROCm,MI300X,Llama-2-70B,4,16384,8192,8192,fp8,tensorwise,PASS,2.45,897.80,5.13,857.87
23,ROCm,MI300X,Llama-2-70B,4,16384,57344,8192,fp8,tensorwise,PASS,18.15,847.89,35.29,872.35
24,ROCm,MI300X,Llama-2-70B,4,16384,8192,28672,fp8,tensorwise,PASS,8.84,870.42,17.78,865.92
25,ROCm,MI300X,Llama-3.1-8B,1,8192,6144,4096,fp8,tensorwise,PASS,0.56,742.37,1.20,686.31
26,ROCm,MI300X,Llama-3.1-8B,1,8192,4096,4096,fp8,tensorwise,PASS,0.39,697.39,0.76,718.92
27,ROCm,MI300X,Llama-3.1-8B,1,8192,28672,4096,fp8,tensorwise,PASS,2.19,879.84,4.77,806.21
28,ROCm,MI300X,Llama-3.1-8B,1,8192,4096,14336,fp8,tensorwise,PASS,1.27,755.79,2.39,805.02
29,ROCm,MI300X,Llama-3.1-8B,2,16384,6144,4096,fp8,tensorwise,PASS,1.06,780.26,2.33,707.60
30,ROCm,MI300X,Llama-3.1-8B,2,16384,4096,4096,fp8,tensorwise,PASS,0.74,746.67,1.49,739.67
31,ROCm,MI300X,Llama-3.1-8B,2,16384,28672,4096,fp8,tensorwise,PASS,4.23,910.64,9.41,818.30
32,ROCm,MI300X,Llama-3.1-8B,2,16384,4096,14336,fp8,tensorwise,PASS,2.43,793.43,4.66,825.85
33,ROCm,MI300X,Llama-3.1-8B,4,32768,6144,4096,fp8,tensorwise,PASS,2.07,795.22,4.62,713.28
34,ROCm,MI300X,Llama-3.1-8B,4,32768,4096,4096,fp8,tensorwise,PASS,1.40,785.20,2.86,770.09
35,ROCm,MI300X,Llama-3.1-8B,4,32768,28672,4096,fp8,tensorwise,PASS,8.73,881.33,18.54,830.48
36,ROCm,MI300X,Llama-3.1-8B,4,32768,4096,14336,fp8,tensorwise,PASS,4.64,829.59,9.44,815.45
37,ROCm,MI300X,Llama-3.1-405B,1,8192,18432,16384,fp8,tensorwise,PASS,5.87,843.19,11.90,831.49
38,ROCm,MI300X,Llama-3.1-405B,1,8192,16384,16384,fp8,tensorwise,PASS,5.13,856.79,10.41,844.87
39,ROCm,MI300X,Llama-3.1-405B,1,8192,106496,16384,fp8,tensorwise,PASS,33.42,855.49,67.46,847.54
40,ROCm,MI300X,Llama-3.1-405B,1,8192,16384,53248,fp8,tensorwise,PASS,17.54,814.79,33.39,856.26
41,ROCm,MI300X,Llama-3.1-405B,2,16384,18432,16384,fp8,tensorwise,PASS,11.85,834.86,23.52,841.31
42,ROCm,MI300X,Llama-3.1-405B,2,16384,16384,16384,fp8,tensorwise,PASS,10.11,869.65,20.61,853.46
43,ROCm,MI300X,Llama-3.1-405B,2,16384,106496,16384,fp8,tensorwise,PASS,63.44,901.27,129.37,883.87
44,ROCm,MI300X,Llama-3.1-405B,2,16384,16384,53248,fp8,tensorwise,PASS,32.99,866.50,64.48,886.76
45,ROCm,MI300X,Llama-3.1-405B,4,32768,18432,16384,fp8,tensorwise,PASS,22.84,866.68,45.22,875.40
46,ROCm,MI300X,Llama-3.1-405B,4,32768,16384,16384,fp8,tensorwise,PASS,19.45,904.34,39.74,885.43
47,ROCm,MI300X,Llama-3.1-405B,4,32768,106496,16384,fp8,tensorwise,PASS,127.05,900.02,246.95,926.09
48,ROCm,MI300X,Llama-3.1-405B,4,32768,16384,53248,fp8,tensorwise,PASS,61.98,922.43,125.66,910.00
49,ROCm,MI300X,Qwen2.5-7B,1,8192,4608,3584,fp8,tensorwise,PASS,0.36,751.62,0.76,707.49
50,ROCm,MI300X,Qwen2.5-7B,1,8192,3584,3584,fp8,tensorwise,PASS,0.34,618.75,0.65,647.05
51,ROCm,MI300X,Qwen2.5-7B,1,8192,37888,3584,fp8,tensorwise,PASS,2.55,872.60,5.74,774.96
52,ROCm,MI300X,Qwen2.5-7B,1,8192,3584,18944,fp8,tensorwise,PASS,1.64,678.21,3.00,742.41
53,ROCm,MI300X,Qwen2.5-7B,2,16384,4608,3584,fp8,tensorwise,PASS,0.68,796.40,1.41,770.31
54,ROCm,MI300X,Qwen2.5-7B,2,16384,3584,3584,fp8,tensorwise,PASS,0.55,763.73,1.19,708.28
55,ROCm,MI300X,Qwen2.5-7B,2,16384,37888,3584,fp8,tensorwise,PASS,5.22,852.72,10.73,829.14
56,ROCm,MI300X,Qwen2.5-7B,2,16384,3584,18944,fp8,tensorwise,PASS,2.80,793.81,6.01,740.07
57,ROCm,MI300X,Qwen2.5-7B,4,32768,4608,3584,fp8,tensorwise,PASS,1.36,795.34,2.80,774.44
58,ROCm,MI300X,Qwen2.5-7B,4,32768,3584,3584,fp8,tensorwise,PASS,1.09,770.61,2.35,716.86
59,ROCm,MI300X,Qwen2.5-7B,4,32768,37888,3584,fp8,tensorwise,PASS,10.42,854.35,21.15,841.65
60,ROCm,MI300X,Qwen2.5-7B,4,32768,3584,18944,fp8,tensorwise,PASS,5.46,814.23,12.22,728.13
61,ROCm,MI300X,Qwen2.5-72B,1,8192,10240,8192,fp8,tensorwise,PASS,1.66,828.56,3.38,813.12
62,ROCm,MI300X,Qwen2.5-72B,1,8192,8192,8192,fp8,tensorwise,PASS,1.36,809.53,2.74,803.55
63,ROCm,MI300X,Qwen2.5-72B,1,8192,59136,8192,fp8,tensorwise,PASS,9.97,795.86,19.51,813.75
64,ROCm,MI300X,Qwen2.5-72B,1,8192,8192,29568,fp8,tensorwise,PASS,4.76,833.38,10.20,778.16
65,ROCm,MI300X,Qwen2.5-72B,2,16384,10240,8192,fp8,tensorwise,PASS,3.09,890.50,6.46,850.72
66,ROCm,MI300X,Qwen2.5-72B,2,16384,8192,8192,fp8,tensorwise,PASS,2.48,886.49,5.18,849.42
67,ROCm,MI300X,Qwen2.5-72B,2,16384,59136,8192,fp8,tensorwise,PASS,17.99,882.17,36.84,861.78
68,ROCm,MI300X,Qwen2.5-72B,2,16384,8192,29568,fp8,tensorwise,PASS,9.17,865.64,19.34,820.75
69,ROCm,MI300X,Qwen2.5-72B,4,32768,10240,8192,fp8,tensorwise,PASS,5.90,932.25,13.02,844.24
70,ROCm,MI300X,Qwen2.5-72B,4,32768,8192,8192,fp8,tensorwise,PASS,4.89,899.75,10.48,839.66
71,ROCm,MI300X,Qwen2.5-72B,4,32768,59136,8192,fp8,tensorwise,PASS,37.19,853.60,71.74,885.05
72,ROCm,MI300X,Qwen2.5-72B,4,32768,8192,29568,fp8,tensorwise,PASS,18.19,872.50,38.07,834.05
73,ROCm,MI300X,Mistral-7B,1,4096,6144,4096,fp8,tensorwise,PASS,0.35,581.21,0.65,635.91
74,ROCm,MI300X,Mistral-7B,1,4096,4096,4096,fp8,tensorwise,PASS,0.22,629.05,0.43,643.40
75,ROCm,MI300X,Mistral-7B,1,4096,28672,4096,fp8,tensorwise,PASS,1.21,797.59,2.51,766.38
76,ROCm,MI300X,Mistral-7B,1,4096,4096,14336,fp8,tensorwise,PASS,0.68,707.83,1.30,739.75
77,ROCm,MI300X,Mistral-7B,2,8192,6144,4096,fp8,tensorwise,PASS,0.56,741.07,1.21,680.84
