TestID,Platform,GPU,Case,MBS,M,N,K,Dtype,Granularity,Check,Forward Time (ms),Forward TFLOPS,Backward Time (ms),Backward TFLOPS
1,ROCm,MI300X,Llama-2-7B,1,4096,12288,4096,fp8,tensorwise,PASS,0.56,732.98,1.15,715.82
2,ROCm,MI300X,Llama-2-7B,1,4096,4096,4096,fp8,tensorwise,PASS,0.21,658.38,0.41,665.36
3,ROCm,MI300X,Llama-2-7B,1,4096,22016,4096,fp8,tensorwise,PASS,0.95,775.50,1.97,749.36
4,ROCm,MI300X,Llama-2-7B,1,4096,4096,11008,fp8,tensorwise,PASS,0.50,733.33,1.13,653.42
5,ROCm,MI300X,Llama-2-7B,2,8192,12288,4096,fp8,tensorwise,PASS,1.03,798.17,2.16,763.17
6,ROCm,MI300X,Llama-2-7B,2,8192,4096,4096,fp8,tensorwise,PASS,0.39,701.43,0.76,721.35
7,ROCm,MI300X,Llama-2-7B,2,8192,22016,4096,fp8,tensorwise,PASS,1.74,848.51,3.70,798.56
8,ROCm,MI300X,Llama-2-7B,2,8192,4096,11008,fp8,tensorwise,PASS,0.95,775.75,1.98,747.75
9,ROCm,MI300X,Llama-2-7B,4,16384,12288,4096,fp8,tensorwise,PASS,1.90,867.39,4.11,802.97
10,ROCm,MI300X,Llama-2-7B,4,16384,4096,4096,fp8,tensorwise,PASS,0.74,743.29,1.49,736.54
11,ROCm,MI300X,Llama-2-7B,4,16384,22016,4096,fp8,tensorwise,PASS,3.28,901.13,7.31,808.05
12,ROCm,MI300X,Llama-2-7B,4,16384,4096,11008,fp8,tensorwise,PASS,1.86,796.23,3.91,756.00
13,ROCm,MI300X,Llama-2-70B,1,4096,10240,8192,fp8,tensorwise,PASS,1.03,665.35,1.83,752.61
14,ROCm,MI300X,Llama-2-70B,1,4096,8192,8192,fp8,tensorwise,PASS,0.74,744.55,1.49,739.31
15,ROCm,MI300X,Llama-2-70B,1,4096,57344,8192,fp8,tensorwise,PASS,4.78,804.85,10.02,768.35
16,ROCm,MI300X,Llama-2-70B,1,4096,8192,28672,fp8,tensorwise,PASS,2.58,746.46,4.85,793.44
17,ROCm,MI300X,Llama-2-70B,2,8192,10240,8192,fp8,tensorwise,PASS,1.68,817.10,3.38,812.70
18,ROCm,MI300X,Llama-2-70B,2,8192,8192,8192,fp8,tensorwise,PASS,1.37,799.94,2.77,794.34
19,ROCm,MI300X,Llama-2-70B,2,8192,57344,8192,fp8,tensorwise,PASS,8.95,860.13,19.21,801.43
20,ROCm,MI300X,Llama-2-70B,2,8192,8192,28672,fp8,tensorwise,PASS,5.00,769.26,9.12,843.66
21,ROCm,MI300X,Llama-2-70B,4,16384,10240,8192,fp8,tensorwise,PASS,3.09,890.10,6.59,833.63
22,ROCm,MI300X,Llama-2-70B,4,16384,8192,8192,fp8,tensorwise,PASS,2.48,886.74,5.26,835.35
23,ROCm,MI300X,Llama-2-70B,4,16384,57344,8192,fp8,tensorwise,PASS,17.31,889.40,36.09,852.93
