TestID,Platform,GPU,Case,B,M,N,K,Dtype,Check,Forward Time (ms),Forward TFLOPS,Backward Time (ms),Backward TFLOPS
1,ROCm,MI300X,DeepSeek-V3-GateUP,8,512,4096,7168,bf16,PASS,2.15,112.00,1.78,270.81
2,ROCm,MI300X,DeepSeek-V3-Down,8,512,7168,2048,bf16,PASS,0.36,335.47,1.40,171.21
3,ROCm,MI300X,DeepSeek-V3-GateUP,8,1024,4096,7168,bf16,PASS,1.36,354.85,2.85,337.81
4,ROCm,MI300X,DeepSeek-V3-Down,8,1024,7168,2048,bf16,PASS,0.68,355.02,2.72,176.70
5,ROCm,MI300X,DeepSeek-V3-GateUP,8,2048,4096,7168,bf16,PASS,2.52,381.55,4.98,386.12
6,ROCm,MI300X,DeepSeek-V3-Down,8,2048,7168,2048,bf16,PASS,1.15,419.61,2.41,399.23
7,ROCm,MI300X,DeepSeek-V3-GateUP,8,4096,4096,7168,bf16,PASS,3.74,515.00,8.93,430.85
8,ROCm,MI300X,DeepSeek-V3-Down,8,4096,7168,2048,bf16,PASS,2.60,370.23,5.32,361.43
9,ROCm,MI300X,DeepSeek-V3-GateUP,8,8192,4096,7168,bf16,PASS,7.80,493.35,15.74,488.97
10,ROCm,MI300X,DeepSeek-V3-Down,8,8192,7168,2048,bf16,PASS,3.84,501.22,8.66,444.57
11,ROCm,MI300X,DeepSeek-V3-GateUP,8,16384,4096,7168,bf16,PASS,18.56,414.67,31.62,486.75
12,ROCm,MI300X,DeepSeek-V3-Down,8,16384,7168,2048,bf16,PASS,7.66,502.65,17.31,444.56
13,ROCm,MI300X,DeepSeek-V3-GateUP,16,512,4096,7168,bf16,PASS,4.30,111.89,3.68,261.78
14,ROCm,MI300X,DeepSeek-V3-Down,16,512,7168,2048,bf16,PASS,0.79,306.38,2.88,166.83
15,ROCm,MI300X,DeepSeek-V3-GateUP,16,1024,4096,7168,bf16,PASS,2.83,339.37,6.00,320.86
16,ROCm,MI300X,DeepSeek-V3-Down,16,1024,7168,2048,bf16,PASS,1.52,316.44,5.55,173.23
17,ROCm,MI300X,DeepSeek-V3-GateUP,16,2048,4096,7168,bf16,PASS,5.10,377.45,10.15,379.18
18,ROCm,MI300X,DeepSeek-V3-Down,16,2048,7168,2048,bf16,PASS,2.35,409.32,4.97,387.51
19,ROCm,MI300X,DeepSeek-V3-GateUP,16,4096,4096,7168,bf16,PASS,7.55,509.52,18.49,416.19
20,ROCm,MI300X,DeepSeek-V3-Down,16,4096,7168,2048,bf16,PASS,5.31,362.38,10.44,368.54
21,ROCm,MI300X,DeepSeek-V3-GateUP,16,8192,4096,7168,bf16,PASS,15.60,493.40,32.81,469.18
22,ROCm,MI300X,DeepSeek-V3-Down,16,8192,7168,2048,bf16,PASS,7.78,494.75,17.82,431.94
23,ROCm,MI300X,DeepSeek-V3-GateUP,16,16384,4096,7168,bf16,PASS,36.79,418.44,65.11,472.87
24,ROCm,MI300X,DeepSeek-V3-Down,16,16384,7168,2048,bf16,PASS,15.70,490.37,34.82,442.10
25,ROCm,MI300X,DeepSeek-V3-GateUP,32,512,4096,7168,bf16,PASS,8.69,110.76,7.58,253.99
26,ROCm,MI300X,DeepSeek-V3-Down,32,512,7168,2048,bf16,PASS,1.67,288.10,6.05,158.93
27,ROCm,MI300X,DeepSeek-V3-GateUP,32,1024,4096,7168,bf16,PASS,5.70,337.59,12.14,316.95
28,ROCm,MI300X,DeepSeek-V3-Down,32,1024,7168,2048,bf16,PASS,3.13,307.67,11.27,170.68
29,ROCm,MI300X,DeepSeek-V3-GateUP,32,2048,4096,7168,bf16,PASS,10.33,372.60,21.30,361.30
30,ROCm,MI300X,DeepSeek-V3-Down,32,2048,7168,2048,bf16,PASS,5.06,380.20,10.30,373.64
31,ROCm,MI300X,DeepSeek-V3-GateUP,32,4096,4096,7168,bf16,PASS,15.34,501.78,38.24,402.57
32,ROCm,MI300X,DeepSeek-V3-Down,32,4096,7168,2048,bf16,PASS,10.93,352.24,21.36,360.28
33,ROCm,MI300X,DeepSeek-V3-GateUP,32,8192,4096,7168,bf16,PASS,31.38,490.52,68.86,447.09
