TestID,Platform,GPU,Batch,SeqLen,num_head_q,num_head_kv,head_dim_qk,head_dim_v,Causal,Deterministic,Check,Forward Time (ms),Forward TFLOPS,Backward Time (ms),Backward TFLOPS
1,ROCm,MI300X,1,4096,32,32,128,128,False,False,PASS,0.57,481.97,1.83,375.45
2,ROCm,MI300X,2,4096,32,32,128,128,False,False,PASS,1.13,487.13,3.37,407.78
3,ROCm,MI300X,4,4096,32,32,128,128,False,False,PASS,2.20,498.98,7.01,392.19
4,ROCm,MI300X,1,4096,64,8,128,128,False,False,PASS,1.10,498.68,3.32,413.45
5,ROCm,MI300X,2,4096,64,8,128,128,False,False,PASS,2.10,523.78,6.90,398.30
6,ROCm,MI300X,4,4096,64,8,128,128,False,False,PASS,4.24,519.11,13.71,401.09
7,ROCm,MI300X,1,8192,32,8,128,128,False,False,PASS,2.17,506.00,6.45,426.07
8,ROCm,MI300X,2,8192,32,8,128,128,False,False,PASS,4.15,529.34,13.30,413.23
9,ROCm,MI300X,4,8192,32,8,128,128,False,False,PASS,8.48,518.89,25.65,428.68
10,ROCm,MI300X,1,8192,128,8,128,128,False,False,PASS,8.46,520.07,25.68,428.11
11,ROCm,MI300X,2,8192,128,8,128,128,False,False,PASS,16.72,526.05,50.60,434.55
12,ROCm,MI300X,4,8192,128,8,128,128,False,False,PASS,33.62,523.24,101.45,433.52
13,ROCm,MI300X,1,8192,28,4,128,128,False,False,PASS,1.84,521.90,5.46,440.40
14,ROCm,MI300X,2,8192,28,4,128,128,False,False,PASS,3.70,519.95,11.17,430.67
15,ROCm,MI300X,4,8192,28,4,128,128,False,False,PASS,7.47,515.15,22.67,424.36
16,ROCm,MI300X,1,8192,64,8,128,128,False,False,PASS,4.29,512.76,13.72,400.67
17,ROCm,MI300X,2,8192,64,8,128,128,False,False,PASS,8.70,505.70,26.44,415.89
18,ROCm,MI300X,4,8192,64,8,128,128,False,False,PASS,17.15,512.99,51.79,424.61
19,ROCm,MI300X,1,4096,32,8,128,128,False,False,PASS,0.58,470.00,1.85,371.43
20,ROCm,MI300X,2,4096,32,8,128,128,False,False,PASS,1.15,476.70,3.52,390.50
