TestID,Platform,GPU,Case,MBS,M,N,K,Dtype,Check,Forward Time (ms),Forward TFLOPS,Backward Time (ms),Backward TFLOPS
1,ROCm,MI300X,Llama-2-7B,1,4096,12288,4096,bf16,PASS,0.67,615.33,1.43,575.91
2,ROCm,MI300X,Llama-2-7B,1,4096,4096,4096,bf16,PASS,0.22,614.68,0.51,541.07
3,ROCm,MI300X,Llama-2-7B,1,4096,22016,4096,bf16,PASS,1.25,592.68,2.53,584.31
4,ROCm,MI300X,Llama-2-7B,1,4096,4096,11008,bf16,PASS,0.58,640.47,1.42,519.50
5,ROCm,MI300X,Llama-2-7B,2,8192,12288,4096,bf16,PASS,1.29,638.59,2.76,596.53
6,ROCm,MI300X,Llama-2-7B,2,8192,4096,4096,bf16,PASS,0.43,631.97,0.97,569.43
7,ROCm,MI300X,Llama-2-7B,2,8192,22016,4096,bf16,PASS,2.35,629.75,4.89,604.47
8,ROCm,MI300X,Llama-2-7B,2,8192,4096,11008,bf16,PASS,1.15,645.13,2.64,560.65
9,ROCm,MI300X,Llama-2-7B,4,16384,12288,4096,bf16,PASS,2.58,638.85,5.42,608.44
10,ROCm,MI300X,Llama-2-7B,4,16384,4096,4096,bf16,PASS,0.87,635.35,1.88,583.60
11,ROCm,MI300X,Llama-2-7B,4,16384,22016,4096,bf16,PASS,4.68,631.69,9.60,615.30
12,ROCm,MI300X,Llama-2-7B,4,16384,4096,11008,bf16,PASS,2.39,617.19,5.19,569.10
13,ROCm,MI300X,Llama-2-70B,1,4096,10240,8192,bf16,PASS,1.07,643.94,2.39,574.71
14,ROCm,MI300X,Llama-2-70B,1,4096,8192,8192,bf16,PASS,0.86,635.93,1.90,578.61
15,ROCm,MI300X,Llama-2-70B,1,4096,57344,8192,bf16,PASS,6.23,617.81,13.17,584.28
16,ROCm,MI300X,Llama-2-70B,1,4096,8192,28672,bf16,PASS,3.32,578.81,6.95,553.60
17,ROCm,MI300X,Llama-2-70B,2,8192,10240,8192,bf16,PASS,2.14,640.78,4.56,602.65
18,ROCm,MI300X,Llama-2-70B,2,8192,8192,8192,bf16,PASS,1.68,655.93,3.66,601.22
19,ROCm,MI300X,Llama-2-70B,2,8192,57344,8192,bf16,PASS,12.63,609.19,25.05,614.53
20,ROCm,MI300X,Llama-2-70B,2,8192,8192,28672,bf16,PASS,6.65,579.12,13.34,576.89
21,ROCm,MI300X,Llama-2-70B,4,16384,10240,8192,bf16,PASS,4.33,634.16,9.08,605.49
22,ROCm,MI300X,Llama-2-70B,4,16384,8192,8192,bf16,PASS,3.45,636.72,7.19,611.86
23,ROCm,MI300X,Llama-2-70B,4,16384,57344,8192,bf16,PASS,25.48,604.20,50.48,609.85
24,ROCm,MI300X,Llama-2-70B,4,16384,8192,28672,bf16,PASS,13.40,574.38,26.58,579.14
25,ROCm,MI300X,Llama-3.1-8B,1,8192,6144,4096,bf16,PASS,0.66,621.04,1.47,559.63
26,ROCm,MI300X,Llama-3.1-8B,1,8192,4096,4096,bf16,PASS,0.44,621.98,0.98,560.45
27,ROCm,MI300X,Llama-3.1-8B,1,8192,28672,4096,bf16,PASS,3.06,628.88,6.28,612.37
28,ROCm,MI300X,Llama-3.1-8B,1,8192,4096,14336,bf16,PASS,1.54,624.23,3.30,583.11
29,ROCm,MI300X,Llama-3.1-8B,2,16384,6144,4096,bf16,PASS,1.32,623.13,2.87,573.73
30,ROCm,MI300X,Llama-3.1-8B,2,16384,4096,4096,bf16,PASS,0.88,622.43,1.92,571.70
31,ROCm,MI300X,Llama-3.1-8B,2,16384,28672,4096,bf16,PASS,6.19,622.17,12.30,625.55
32,ROCm,MI300X,Llama-3.1-8B,2,16384,4096,14336,bf16,PASS,3.17,606.13,6.47,594.92
