TestID,Platform,GPU,Case,B,M,N,K,Dtype,Check,Forward Time (ms),Forward TFLOPS,Backward Time (ms),Backward TFLOPS
1,ROCm,MI300X,DeepSeek-V3-GateUP,8,512,4096,7168,bf16,PASS,0.53,458.08,1.75,275.19
2,ROCm,MI300X,DeepSeek-V3-Down,8,512,7168,2048,bf16,PASS,0.30,398.09,0.95,252.47
3,ROCm,MI300X,DeepSeek-V3-GateUP,8,1024,4096,7168,bf16,PASS,0.98,491.09,2.66,361.73
4,ROCm,MI300X,DeepSeek-V3-Down,8,1024,7168,2048,bf16,PASS,0.50,481.73,1.34,358.04
5,ROCm,MI300X,DeepSeek-V3-GateUP,8,2048,4096,7168,bf16,PASS,1.88,512.27,4.70,409.56
6,ROCm,MI300X,DeepSeek-V3-Down,8,2048,7168,2048,bf16,PASS,0.94,509.45,2.33,413.51
7,ROCm,MI300X,DeepSeek-V3-GateUP,8,4096,4096,7168,bf16,PASS,3.51,547.67,8.78,438.23
8,ROCm,MI300X,DeepSeek-V3-Down,8,4096,7168,2048,bf16,PASS,1.85,518.88,4.33,444.48
9,ROCm,MI300X,DeepSeek-V3-GateUP,8,8192,4096,7168,bf16,PASS,7.18,535.79,16.95,453.99
10,ROCm,MI300X,DeepSeek-V3-Down,8,8192,7168,2048,bf16,PASS,3.72,516.89,8.34,461.40
11,ROCm,MI300X,DeepSeek-V3-GateUP,8,16384,4096,7168,bf16,PASS,14.27,539.17,34.03,452.32
12,ROCm,MI300X,DeepSeek-V3-Down,8,16384,7168,2048,bf16,PASS,7.52,511.42,16.93,454.74
13,ROCm,MI300X,DeepSeek-V3-GateUP,16,512,4096,7168,bf16,PASS,1.06,453.08,3.48,276.59
14,ROCm,MI300X,DeepSeek-V3-Down,16,512,7168,2048,bf16,PASS,0.54,441.95,1.72,279.87
15,ROCm,MI300X,DeepSeek-V3-GateUP,16,1024,4096,7168,bf16,PASS,1.99,482.83,5.61,342.84
16,ROCm,MI300X,DeepSeek-V3-Down,16,1024,7168,2048,bf16,PASS,1.01,475.78,2.78,345.45
17,ROCm,MI300X,DeepSeek-V3-GateUP,16,2048,4096,7168,bf16,PASS,3.66,525.78,9.75,394.82
18,ROCm,MI300X,DeepSeek-V3-Down,16,2048,7168,2048,bf16,PASS,1.92,500.25,4.91,392.21
19,ROCm,MI300X,DeepSeek-V3-GateUP,16,4096,4096,7168,bf16,PASS,7.26,530.08,18.04,426.74
20,ROCm,MI300X,DeepSeek-V3-Down,16,4096,7168,2048,bf16,PASS,3.80,505.88,8.98,428.75
21,ROCm,MI300X,DeepSeek-V3-GateUP,16,8192,4096,7168,bf16,PASS,14.51,530.30,34.97,440.17
22,ROCm,MI300X,DeepSeek-V3-Down,16,8192,7168,2048,bf16,PASS,7.62,505.19,17.68,435.44
23,ROCm,MI300X,DeepSeek-V3-GateUP,16,16384,4096,7168,bf16,PASS,29.53,521.21,68.59,448.81
24,ROCm,MI300X,DeepSeek-V3-Down,16,16384,7168,2048,bf16,PASS,15.36,501.20,35.08,438.86
25,ROCm,MI300X,DeepSeek-V3-GateUP,32,512,4096,7168,bf16,PASS,2.18,441.94,7.22,266.57
26,ROCm,MI300X,DeepSeek-V3-Down,32,512,7168,2048,bf16,PASS,1.11,435.16,3.55,271.03
27,ROCm,MI300X,DeepSeek-V3-GateUP,32,1024,4096,7168,bf16,PASS,3.93,489.88,11.48,335.16
28,ROCm,MI300X,DeepSeek-V3-Down,32,1024,7168,2048,bf16,PASS,2.05,468.31,5.84,329.23
29,ROCm,MI300X,DeepSeek-V3-GateUP,32,2048,4096,7168,bf16,PASS,7.53,510.96,20.29,379.29
30,ROCm,MI300X,DeepSeek-V3-Down,32,2048,7168,2048,bf16,PASS,3.94,488.31,10.01,384.29
31,ROCm,MI300X,DeepSeek-V3-GateUP,32,4096,4096,7168,bf16,PASS,14.75,521.65,36.69,419.55
32,ROCm,MI300X,DeepSeek-V3-Down,32,4096,7168,2048,bf16,PASS,7.82,492.11,18.67,412.35
33,ROCm,MI300X,DeepSeek-V3-GateUP,32,8192,4096,7168,bf16,PASS,29.96,513.78,69.36,443.89
34,ROCm,MI300X,DeepSeek-V3-Down,32,8192,7168,2048,bf16,PASS,15.48,497.13,36.13,426.07
35,ROCm,MI300X,DeepSeek-V3-GateUP,32,16384,4096,7168,bf16,PASS,59.68,515.89,137.89,446.53
36,ROCm,MI300X,DeepSeek-V3-Down,32,16384,7168,2048,bf16,PASS,30.98,496.88,70.98,433.76
37,ROCm,MI300X,DeepSeek-V2-GateUP,5,512,3072,5120,bf16,PASS,0.25,316.45,0.62,260.91
38,ROCm,MI300X,DeepSeek-V2-Down,5,512,5120,1536,bf16,PASS,0.11,353.55,0.44,182.10
39,ROCm,MI300X,DeepSeek-V2-GateUP,5,1024,3072,5120,bf16,PASS,0.36,442.81,1.04,310.91
40,ROCm,MI300X,DeepSeek-V2-Down,5,1024,5120,1536,bf16,PASS,0.22,365.86,0.58,279.05
41,ROCm,MI300X,DeepSeek-V2-GateUP,5,2048,3072,5120,bf16,PASS,0.67,477.89,1.66,388.20
42,ROCm,MI300X,DeepSeek-V2-Down,5,2048,5120,1536,bf16,PASS,0.34,467.14,0.84,385.31
43,ROCm,MI300X,DeepSeek-V2-GateUP,5,4096,3072,5120,bf16,PASS,1.34,481.24,3.07,420.00
44,ROCm,MI300X,DeepSeek-V2-Down,5,4096,5120,1536,bf16,PASS,0.68,470.90,1.55,416.27
45,ROCm,MI300X,DeepSeek-V2-GateUP,5,8192,3072,5120,bf16,PASS,2.51,512.33,5.90,437.00
46,ROCm,MI300X,DeepSeek-V2-Down,5,8192,5120,1536,bf16,PASS,1.33,485.49,3.01,428.67
47,ROCm,MI300X,DeepSeek-V2-GateUP,5,16384,3072,5120,bf16,PASS,4.95,520.74,11.99,429.69
48,ROCm,MI300X,DeepSeek-V2-Down,5,16384,5120,1536,bf16,PASS,2.62,491.08,5.76,447.41
49,ROCm,MI300X,DeepSeek-V2-GateUP,10,512,3072,5120,bf16,PASS,0.40,401.19,1.27,254.53
50,ROCm,MI300X,DeepSeek-V2-Down,10,512,5120,1536,bf16,PASS,0.23,353.00,0.69,234.11
51,ROCm,MI300X,DeepSeek-V2-GateUP,10,1024,3072,5120,bf16,PASS,0.71,450.89,1.90,339.89
52,ROCm,MI300X,DeepSeek-V2-Down,10,1024,5120,1536,bf16,PASS,0.37,434.40,0.96,334.30
53,ROCm,MI300X,DeepSeek-V2-GateUP,10,2048,3072,5120,bf16,PASS,1.36,473.52,3.30,390.71
54,ROCm,MI300X,DeepSeek-V2-Down,10,2048,5120,1536,bf16,PASS,0.71,452.61,1.68,382.81
55,ROCm,MI300X,DeepSeek-V2-GateUP,10,4096,3072,5120,bf16,PASS,2.54,507.92,6.14,419.37
56,ROCm,MI300X,DeepSeek-V2-Down,10,4096,5120,1536,bf16,PASS,1.34,481.83,3.10,415.40
57,ROCm,MI300X,DeepSeek-V2-GateUP,10,8192,3072,5120,bf16,PASS,4.96,519.99,12.07,427.06
58,ROCm,MI300X,DeepSeek-V2-Down,10,8192,5120,1536,bf16,PASS,2.64,487.64,5.90,436.59
59,ROCm,MI300X,DeepSeek-V2-GateUP,10,16384,3072,5120,bf16,PASS,10.06,512.38,24.39,422.69
60,ROCm,MI300X,DeepSeek-V2-Down,10,16384,5120,1536,bf16,PASS,5.25,490.48,11.59,444.62
61,ROCm,MI300X,DeepSeek-V2-GateUP,20,512,3072,5120,bf16,PASS,0.81,397.47,2.42,266.70
62,ROCm,MI300X,DeepSeek-V2-Down,20,512,5120,1536,bf16,PASS,0.40,405.10,1.22,264.33
63,ROCm,MI300X,DeepSeek-V2-GateUP,20,1024,3072,5120,bf16,PASS,1.45,442.87,3.88,332.45
64,ROCm,MI300X,DeepSeek-V2-Down,20,1024,5120,1536,bf16,PASS,0.74,437.91,1.98,324.80
65,ROCm,MI300X,DeepSeek-V2-GateUP,20,2048,3072,5120,bf16,PASS,2.61,494.49,6.84,376.97
66,ROCm,MI300X,DeepSeek-V2-Down,20,2048,5120,1536,bf16,PASS,1.37,470.61,3.47,371.40
67,ROCm,MI300X,DeepSeek-V2-GateUP,20,4096,3072,5120,bf16,PASS,4.99,516.19,12.99,396.67
