TestID,Platform,GPU,Batch,SeqLen,num_head_q,num_head_kv,head_dim_qk,head_dim_v,Causal,Deterministic,Check,Forward Time (ms),Forward TFLOPS,Backward Time (ms),Backward TFLOPS
1,ROCm,MI300X,1,4096,32,32,128,128,False,False,PASS,1.71,161.14,4.44,154.62
2,ROCm,MI300X,2,4096,32,32,128,128,False,False,PASS,2.96,185.51,8.88,154.76
3,ROCm,MI300X,4,4096,32,32,128,128,False,False,PASS,5.70,192.84,17.03,161.40
4,ROCm,MI300X,1,4096,64,8,128,128,False,False,PASS,2.64,208.26,9.17,149.89
5,ROCm,MI300X,2,4096,64,8,128,128,False,False,PASS,4.88,225.45,18.10,151.83
6,ROCm,MI300X,4,4096,64,8,128,128,False,False,PASS,9.53,230.78,34.56,159.09
7,ROCm,MI300X,1,8192,32,8,128,128,False,False,PASS,4.96,221.58,18.18,151.22
8,ROCm,MI300X,2,8192,32,8,128,128,False,False,PASS,9.19,239.24,33.13,165.94
9,ROCm,MI300X,4,8192,32,8,128,128,False,False,PASS,18.30,240.35,67.45,163.01
10,ROCm,MI300X,1,8192,128,8,128,128,False,False,PASS,18.24,241.17,72.62,151.41
11,ROCm,MI300X,2,8192,128,8,128,128,False,False,PASS,36.09,243.72,135.17,162.68
12,ROCm,MI300X,4,8192,128,8,128,128,False,False,PASS,72.24,243.54,270.00,162.89
13,ROCm,MI300X,1,8192,28,4,128,128,False,False,PASS,4.17,230.67,15.78,152.44
14,ROCm,MI300X,2,8192,28,4,128,128,False,False,PASS,8.06,238.82,31.73,151.62
15,ROCm,MI300X,4,8192,28,4,128,128,False,False,PASS,16.01,240.41,59.98,160.40
16,ROCm,MI300X,1,8192,64,8,128,128,False,False,PASS,9.29,236.66,35.86,153.32
17,ROCm,MI300X,2,8192,64,8,128,128,False,False,PASS,18.22,241.42,68.12,161.42
18,ROCm,MI300X,4,8192,64,8,128,128,False,False,PASS,36.43,241.42,137.43,160.02
19,ROCm,MI300X,1,4096,32,8,128,128,False,False,PASS,1.48,186.19,4.77,144.16
20,ROCm,MI300X,2,4096,32,8,128,128,False,False,PASS,2.63,209.31,9.56,143.77
21,ROCm,MI300X,4,4096,32,8,128,128,False,False,PASS,5.01,219.49,17.35,158.43
22,ROCm,MI300X,1,4096,128,128,192,128,False,False,PASS,7.33,187.43,23.41,146.77
23,ROCm,MI300X,2,4096,128,128,192,128,False,False,PASS,14.47,189.97,51.24,134.12
24,ROCm,MI300X,4,4096,128,128,192,128,False,False,PASS,29.15,188.58,104.57,131.43
25,ROCm,MI300X,1,4096,16,16,192,128,False,False,PASS,1.17,147.17,3.22,133.43
26,ROCm,MI300X,2,4096,16,16,192,128,False,False,PASS,1.95,176.05,5.95,144.40
27,ROCm,MI300X,4,4096,16,16,192,128,False,False,PASS,3.73,184.01,11.93,144.02
28,ROCm,MI300X,1,8192,32,4,64,64,False,False,PASS,3.33,165.04,11.89,115.61
29,ROCm,MI300X,2,8192,32,4,64,64,False,False,PASS,6.32,174.01,23.09,119.07
30,ROCm,MI300X,4,8192,32,4,64,64,False,False,PASS,12.38,177.69,42.40,129.65
31,ROCm,MI300X,1,8192,64,4,64,64,False,False,PASS,6.36,172.83,23.28,118.08
32,ROCm,MI300X,2,8192,64,4,64,64,False,False,PASS,12.33,178.41,45.09,121.93
33,ROCm,MI300X,4,8192,64,4,64,64,False,False,PASS,24.04,182.93,85.03,129.31
34,ROCm,MI300X,1,8192,48,8,128,128,False,False,PASS,7.33,225.05,27.42,150.36
35,ROCm,MI300X,2,8192,48,8,128,128,False,False,PASS,13.96,236.36,50.65,162.82
36,ROCm,MI300X,4,8192,48,8,128,128,False,False,PASS,27.05,243.88,104.02,158.55
37,ROCm,MI300X,1,4096,64,64,192,128,False,False,PASS,3.88,177.07,11.96,143.69
38,ROCm,MI300X,2,4096,64,64,192,128,False,False,PASS,7.31,188.05,23.50,146.21
39,ROCm,MI300X,4,4096,64,64,192,128,False,False,PASS,14.57,188.68,51.46,133.53
40,ROCm,MI300X,1,4096,32,32,128,128,True,False,PASS,1.40,98.14,2.54,135.24
41,ROCm,MI300X,2,4096,32,32,128,128,True,False,PASS,2.22,123.90,5.17,132.96
42,ROCm,MI300X,4,4096,32,32,128,128,True,False,PASS,4.29,128.07,10.29,133.55
43,ROCm,MI300X,1,4096,64,8,128,128,True,False,PASS,1.79,153.88,5.03,136.63
44,ROCm,MI300X,2,4096,64,8,128,128,True,False,PASS,3.29,167.17,9.68,142.04
45,ROCm,MI300X,4,4096,64,8,128,128,True,False,PASS,6.40,171.90,18.71,146.95
46,ROCm,MI300X,1,8192,32,8,128,128,True,False,PASS,3.02,181.89,9.37,146.68
47,ROCm,MI300X,2,8192,32,8,128,128,True,False,PASS,5.82,189.03,18.08,152.06
48,ROCm,MI300X,4,8192,32,8,128,128,True,False,PASS,11.07,198.64,36.06,152.44
49,ROCm,MI300X,1,8192,128,8,128,128,True,False,PASS,10.84,202.94,36.34,151.28
50,ROCm,MI300X,2,8192,128,8,128,128,True,False,PASS,21.22,207.28,70.53,155.89
51,ROCm,MI300X,4,8192,128,8,128,128,True,False,PASS,42.10,208.96,141.13,155.82
52,ROCm,MI300X,1,8192,28,4,128,128,True,False,PASS,2.57,186.83,8.63,139.42
53,ROCm,MI300X,2,8192,28,4,128,128,True,False,PASS,4.85,198.31,16.10,149.43
54,ROCm,MI300X,4,8192,28,4,128,128,True,False,PASS,9.27,207.67,31.17,154.33
55,ROCm,MI300X,1,8192,64,8,128,128,True,False,PASS,5.85,188.04,18.59,147.90
